ST ANNES ON THE SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD320286,Long,-3.032663,Lat,53.749314,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,
January,,,,,,1.48,3.96,1.2,2.15,1.98,3.7,0.85,3.51,3.73,1.4,3.9,1.16,1.77,2.92,3.81,3.1,3.65,3.4,1.97,2.97,2.05,3.69,3.7,7.08,1.41,5.34,3.54,4.13,2.42,2.81,1.7,3.84,1.99,3.87,4.31,2.74,1.58,3.69,4.77,3.28,2.63,4.59,2.8,6.45,2.04,1.46,
February,,,,,,1.33,3.47,1.53,2.06,0.81,2.89,3.11,1.66,1.15,2.03,3.54,2.53,1.19,2.97,0.82,1.86,0.3,3.55,2.97,0.51,3.58,3.32,2.03,3.26,0.76,0.31,2.77,0.03,2.72,0.06,3.24,2.1,4.56,1.03,2.46,2.42,3.23,1.63,1.68,0.91,4.09,3.57,0.89,1.82,1.24,3.57,
March,,,,,,2.45,2.7,2.87,2.51,2.7,0.82,0.99,5.19,3.02,3.01,1.3,1.75,2.31,0.77,3.92,3.87,2.63,1.74,1.15,1.17,1.16,1.09,2.96,2.28,0.7,2.77,0.33,2,2.11,1.7,1.03,1.96,1.31,1.23,2,2.41,2.77,2.92,0.6,0.42,0.87,0.91,5.29,1.35,1.85,1.25,
April,,,,,,2.44,1.29,1.4,2.92,3.21,1.62,2.19,0.38,3.15,0.8,2.11,2.32,1.62,1.47,1.26,4.3,1.48,1.58,2.27,1.6,1.82,1.12,1.17,0.94,0.99,1.82,2.41,2.42,1.61,2.11,2.26,0.91,2.73,0.22,2.24,1.87,0.94,1.53,1.62,1.92,1.58,1.04,3.41,1.86,2.84,2.34,
May,,,,,,0.44,3.42,3.51,2.83,1.7,1.62,1.23,1.75,2.34,1.92,1.07,2.46,2.57,2.92,1.18,3.55,1.3,2.04,2.14,5.1,3.75,2.42,1.42,0.89,1.6,0.95,1.59,4.17,1.71,2.93,1.21,0.93,1.58,2.58,0.91,2.35,1.87,3.25,3.14,1.24,3.1,1.53,4.08,2.29,2.53,0.76,
June,,,,,,1.93,1.71,5.9,2.21,2.25,2.87,2.62,5.03,2.25,1.38,1.49,1.58,2.55,1.26,1.26,3.2,0.45,1.65,0.33,2.26,0.13,1.87,2.29,4.94,0.88,1.15,6.82,0.83,1.28,2.16,3.67,3.86,2.05,3.58,3.3,0.48,0.2,0.87,1.97,1.79,2.9,2.24,2.5,3.72,0.56,,
July,,,,,,1.36,1.57,2.41,3.98,4.96,4.06,0.72,4.55,1.28,5.88,3.93,0.97,1.16,3.74,1.32,4.29,1.74,4.41,,3.45,2.52,3.62,2.17,2.18,2.11,3.04,2.51,4.31,2,1.62,0.76,2.19,1.96,3.19,5.91,3.38,0.99,3.7,3.04,2.94,1.99,4.03,2.49,1.58,2.56,,
August,,,,,2.6,3.96,3.38,3.28,3.77,2.88,4.42,3.76,4.85,1.23,1.74,4.38,2.54,6.75,3.2,4.12,1.62,4.49,6.52,,4.07,3.3,3.33,5.18,2.87,3.56,5.82,3.48,1.44,3.06,3.64,2.01,2.01,1.5,3.51,1.57,0.92,3.21,3.62,4.62,2.08,1.07,3.49,0.55,4.08,2.21,,
September,,,,,2.65,2.7,1.7,0.68,4.59,3.09,0.46,3.85,2.28,2.8,2.84,0.39,2.71,2.57,8.37,2.05,2.41,1.17,2.66,3.29,4.07,3.78,3.96,4.9,1.09,2.04,2.52,2.65,3.89,0.73,2.83,6.34,3.72,1.82,2.25,0.99,3.53,1.41,2.78,3.63,5.3,3.01,5.31,3.39,3.79,0.82,,
October,,,,,2.1,2.64,5.63,3.99,2.41,3.95,2.63,2.57,4.55,2.57,1.6,2.15,4.71,7.89,2.52,3.38,1.27,1.81,0.9,4.1,4.11,5.11,3.27,2.56,5.59,5.42,5.07,2.43,5.81,4.39,4.85,4.54,2.37,2.52,6.89,2.02,2.93,3.74,3.71,4.3,3.25,4.69,0.61,0.41,2.59,4.45,,
