ST ANNES-ON-THE-SEA,,,,,,,,,,
Grid ref,SD318286,Long,-3.0350348,Lat,53.749542,Elevation,29,ft,,
Station no,2953,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,0.16,,,,,,
February,,,,1.7,,,,,,
March,,,,0.12,,,,,,
April,,,,0.09,,,,,,
May,,,,0.41,,,,,,
June,,,,1.34,,,,,,
July,,,,2.69,,,,,,
August,,,,3.2,,,,,,
September,,,,3.05,,,,,,
October,,,,3.04,,,,,,
November,,,,0.53,,,,,,
December,,,,2.76,,,,,,
Total,,,,19.09,,,,,,
,,,,,,,,,,
Total 1893 not transcribed as crossed out on record.,,,,,,,,,,
"Note record says ""1893 utterly unreliable""",,,,,,,,,,
Gauge on collector's office at entrance to pier' - hence NGR for that location,,,,,,,,,,
