MONTROSE MIX - USAN,,,,,,,,,,
Grid ref,NO722552,Long,-2.454624,Lat,56.688156,Elevation,150,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,1.2,3.7,2,1.9,,,,,
February,,1.2,1.8,0.1,2.8,,,,,
March,,2,2.5,0.7,-999,,,,,
April,,0.6,1.1,1.1,-999,,,,,
May,,1.1,3.1,1.3,1.8,,,,,
June,,2.1,3.6,2.6,0.8,,,,,
July,,2.5,2.7,0.4,1.7,,,,,
August,,4.9,1.9,3.9,1.5,,,,,
September,,4.3,2,3.9,3.5,,,,,
October,,1.6,3,2.5,7.8,,,,,
November,,3.4,0.9,1.2,3.3,,,,,
December,,2.3,2.7,1.9,3.3,,,,,
Total,,27.2,29,21.6,31.1,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is for Usan House, which is a guess and is too low. There are no obvious locations in the area at an elevation of 150ft and no information on the observer, George Wynels (? Surname). NGR could be +/- 1,000 metres",,,,,,,,,,
Met Office records:,,,,,,,,,,
TYRain_1860-1869_07_pt2-page-166,,,,,,,,,,
