MONTROSE MIX - THE MALL,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO715585,Long,-2.466418,Lat,56.717759,Elevation,20,ft,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,,3.89,2.07,2.35,1.74,2.34,1.94,2.38,2.93,2.2,4.88,5.25,3.97,2.87,0.79,2.9,,,,,
February,,,2.01,1.48,1.88,1.69,1.08,0.2,4.8,1.31,1.4,0.74,1.2,2.28,0.14,1.24,2.77,,,,,
March,,,3.21,1.13,1.43,1.1,1.48,0.8,2.62,0.62,0.55,4.51,0.48,0.58,0.53,2.16,0.08,,,,,
April,,,0.09,3.66,0.73,1.51,2.83,1.19,1.92,1.73,2.4,2.01,0.14,0.94,0.23,0.54,2.71,,,,,
May,,,1.67,2.22,0.49,0.85,1.73,4.25,0.66,2.27,1.45,0.53,1.13,0.49,1.73,1.02,2.2,,,,,
June,,,1.58,1.92,2.75,3.51,1.45,1.55,3.97,1.91,1.08,2.73,2.36,1.55,1.95,1.5,2.13,,,,,
July,,,2.81,5.67,2.99,2.95,5.36,2.97,2.72,2.67,1.44,2.12,1.64,2.13,1.26,2.72,1.46,,,,,
August,,,1.96,2.08,1.78,2.22,2.55,0.58,2.04,1.66,2.45,2.33,2.65,2.27,0.97,2.24,2.85,,,,,
September,,,3.02,0.5,2.2,1.86,1.94,1.08,1.1,1.03,2.37,0.97,1.73,1.2,1.06,0.54,5.1,,,,,
October,,,1.09,2.57,0.8,3.21,6.83,2.87,3.82,0.77,1.61,1.65,3.23,5.55,2.52,2.16,1.78,,,,,
November,,,4.98,3.38,3.75,2.75,2.92,1.76,1.59,2.19,2.1,1.16,4.68,1.97,2.42,1.22,1.31,,,,,
December,,,1.46,0.3,1.2,1.38,0.83,5.15,2.13,2.83,0.92,0.38,5.35,1.65,1.17,2.62,1.62,,,,,
Total,,,27.77,26.98,22.35,24.77,31.34,24.34,29.75,21.92,19.97,24.01,29.84,24.58,16.85,18.75,26.91,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
"NGR is for John Aberdein who lived at The Mall and also a mill at North Esk Road, which is beside The Mall. Name on the record sheets reads John Aberdean, but he cannot be found.",,,,,,,,,,,,,,,,,,,,,,
"Altitude is pensilled in the 1840 s record, but maybe incorrect.",,,,,,,,,,,,,,,,,,,,,,
Met Office Files,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt3-page-057,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_H_pt1-page-230,,,,,,,,,,,,,,,,,,,,,,
