KIRKCOWAN,,,,,,,,,,
Grid ref,NX327609,Long,-4.6110687,Lat,54.915507,Elevation,200,ft,,
Station no,RR7254,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.6,5.82,11.86,7.72,11.44,5.48,
February,,,,1.17,2.55,2.09,5.99,4.75,2.49,
March,,,,3.88,3.85,1.86,9.95,3.92,,
April,,,,0.39,2.24,1.39,3.59,3.39,,
May,,,,2.81,0.89,3.49,0.65,3.1,,
June,,,,1.96,1.46,4.6,4.55,3.85,,
July,,,,5.48,2.75,2.67,1.95,4.16,,
August,,,,5.21,7.2,4.15,4.94,5.78,,
September,,,,5.52,4.4,6.62,4.44,2.01,,
October,,,,7.1,10.06,5.82,7.03,8.68,,
November,,,,3.67,7.8,5.43,3.54,9.8,,
December,,,,2.49,4,4.1,7.66,8.24,,
Total,,,,46.28,53.02,54.08,62.01,69.12,,
,,,,,,,,,,
"No locational information on record so NGR taken at church/school in centre of village, right elevation for record",,,,,,,,,,
