"DENBIGH (MENTAL HOSPITAL)",,,,,,,,,,,,
Grid ref,SJ051653,Long,-3.421334,Lat,53.176313,,,,,,,
Station no,4312,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,4.73,0.97,2.30,2.83,4.13,2.16,2.81,4.38,5.74,,
February,3.26,1.41,2.97,2.69,3.13,0.68,2.35,4.80,0.12,2.18,,
March,5.54,0.59,1.15,2.54,1.98,1.26,1.53,1.42,1.29,1.50,,
April,1.52,1.64,2.89,0.78,0.64,1.50,0.43,0.45,3.70,1.37,,
May,3.10,3.11,1.61,4.21,3.04,0.73,1.64,2.17,1.40,1.32,,
June,1.51,1.43,2.52,2.25,2.39,2.03,1.01,3.86,1.65,0.89,,
July,1.47,0.98,2.33,2.79,0.48,4.22,6.24,3.37,2.29,1.68,,
August,3.95,1.59,3.17,3.51,1.87,6.90,3.83,3.56,1.54,3.59,,
September,2.26,5.00,3.57,1.78,1.67,3.09,5.23,3.75,0.15,3.37,,
October,1.33,5.04,1.76,4.58,2.67,2.35,2.16,2.18,2.58,2.56,,
November,5.96,2.87,2.97,7.86,1.71,1.34,2.78,1.43,3.08,4.59,,
December,5.08,4.44,1.08,3.51,3.17,3.04,1.31,1.73,3.12,2.38,,
Total,37.49,32.83,26.99,38.80,25.58,31.27,30.67,31.53,25.30,31.17,,
Calc annual,37.49,32.83,26.99,38.80,25.58,31.27,30.67,31.53,25.30,31.17,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
