HOLY LOCH ARDNADAM,,,,,,,,,,
Grid ref,NS 172 803,Long,-4.932294,Lat,55.980391,Elevation,25,ft,,
Station no,RR1966,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,12.85,8.35,8.22,6.66,6.72,8.19
February,,,,,8.5,10.39,3.39,7.92,2.19,5.4
March,,,,,5.88,6.1,6.08,3.56,5.34,3.55
April,,,,,2.61,2.84,4.11,3.71,3.69,4.42
May,,,,,6.35,3.92,4.23,1.54,5.73,4.24
June,,,,,1.48,2.51,2.31,1.7,4.42,1.81
July,,,,,7.03,3.85,4.67,5.02,5.85,2.14
August,,,,,6.14,5.07,4.37,4.79,6.35,7.66
September,,,,,5.81,12.6,10.94,5.88,2.1,3.16
October,,,,,9.4,7.46,6.25,2.97,4.34,6.09
November,,,,14.54,9,5.43,8.98,4.92,11.6,4.82
December,,,,11.1,14.32,6.83,7.64,6.45,8.17,8.47
Total,,,,,89.37,75.35,71.19,55.12,66.5,59.95
