GARSTANG THE PARSONAGE,,,,,,,,,,
Grid ref,SD490450,Long,-2.777623,Lat,53.898647,Elevation,71,ft,,
Station no,RR8890,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,5.63,5.46,3.9,5.04,2.09,6.22,3.46,
February,,,2.66,0.98,1.51,1.02,4.47,4.14,1.86,
March,,,5.49,3.2,3.18,0.9,2.89,3.05,1.29,
April,,,2.34,0.73,1.41,1.02,3.21,2.58,1.98,
May,,,1.61,1.82,1.22,2.14,0.34,2.94,3.96,
June,,,6.3,2.81,0.94,5.37,4.38,2.44,3.81,
July,,,5.3,3.37,1.56,4.21,2.86,4.64,0.93,
August,,,3.7,4.6,5.57,2.91,3.95,7.45,4.83,
September,,,7.55,2.54,4.63,4.47,4.31,4.18,4.64,
October,,,5.96,6.54,6.52,3.83,2.63,5.8,3.02,
November,,,4.46,1.96,4.52,5.09,3.44,6.23,2.51,
December,,,4.33,1.6,3.33,2.26,5.1,5.33,2.8,
Total,,,55.33,35.61,38.29,38.26,39.67,55,35.09,
