HOPTON-WAFERS,,,,,,,,,,
Grid ref,SO643765,Long,-2.5259524,Lat,52.385358,Elevation,595,ft.,,
Station no,2268/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.79
February,,,,,,,,,,3.14
March,,,,,,,,,,1.93
April,,,,,,,,,,1.41
May,,,,,,,,,,1.5
June,,,,,,,,,,2.38
July,,,,,,,,,2.03,3.51
August,,,,,,,,,1.74,4.63
September,,,,,,,,,0.08,4.7
October,,,,,,,,,2.43,7.11
November,,,,,,,,,4.1,5.21
December,,,,,,,,,6.35,3.78
Total,,,,,,,,,,46.09
,,,,,,,,,,
NGR is from 1950s record and is in Hopton Wafers. Altitudes match.,,,,,,,,,,
"MIDAS src_id 10091 ends 1976 but places gauge 140m NW, which is 25 ft. too high",,,,,,,,,,
