DINGWALL MIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH551587,Long,-4.4254,Lat,57.5952,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,5773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,3.05,2.77,3.73,3.61,1.24,3.07,3.14,0.95,2.03,2.4,2.5,1.57,0.67,1.69,3.48,1.87,0.82,0.98,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,1.23,0.52,0.34,0.42,2.93,5.12,1.3,0.45,2.22,0.85,2.46,2.01,1.12,2.58,0.57,1.22,1.13,2.13,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,1.08,1.05,1.76,2.23,4.61,2.38,2.4,0.62,0.89,2.7,4.21,0.93,0.88,1.73,0.51,3.02,0.53,0.84,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,1.35,1.02,2.18,0.96,2.17,2.33,0.11,0.75,1.34,0.34,1.58,0.11,0.15,0.96,0.78,1.47,0.72,0.9,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,2.56,3.75,1.73,0.99,1,1.76,2.43,1.45,0.73,1.89,1.8,0.19,0.44,1.53,0.69,0.49,0.43,1.58,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,5.56,2.07,1.37,1.92,1.82,3.82,2.17,2.02,2.41,1.86,0.63,0.4,0.62,0.54,1.6,0.67,1.16,0.29,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,3.65,3.31,2.21,3.03,1.12,2.42,1.21,4.52,3.93,4.34,3.72,4.79,0.41,0.34,0.97,3.13,1.8,0.8,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,2.4,2.55,3.93,3.97,1.6,4.26,3.07,2.62,0.91,2.19,0.96,3.7,0.58,0.9,0.94,2.52,0.51,3.41,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,4.58,3.29,2.34,1.41,2.72,1.26,2.53,1.55,1.47,1.98,4.43,2.59,0.33,3.19,1.36,3.92,0.87,0.57,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,3.59,3.23,3.96,1.97,2.66,4.54,3.56,1.59,1.62,2.83,1.41,0.78,1.07,2.36,1.37,2.25,0.9,0.55,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
