RAYNERS-LANE-HIGH-WORPLE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ127875,Long,-0.37509732,Lat,51.57511,Elevation,153,ft.,,,,,,,,,,,,
Station no,860/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.46,1.04,0.72,2.82,1.72,0.79,0.89,2.53,4.05,1.5,2.64,2.35,2.26
February,,,,,,,,1.23,1.08,3.5,5.04,0.81,1.8,2.37,1.46,0.23,2.9,2.57,0.09,2.12
March,,,,,,,,0.83,1.1,0.83,3.49,3.01,0.43,2.31,1.11,0.94,1.28,1.28,2.06,1.74
April,,,,,,,,1.17,1.64,2.06,2.61,1.56,2.32,0.33,0.46,1.05,0.28,1.5,2.26,0.56
May,,,,,,,,3.59,2.12,1.55,1.97,2.06,1.48,2.11,4.7,0.29,1.02,2.5,0.52,1.93
June,,,,,,,,2.89,0.55,1.43,1.36,1.46,1.58,-999,1.99,1.94,1.06,3.98,1,1.45
July,,,,,,,,1.1,2.96,4.54,1.07,0.57,2.86,-999,0.56,3.52,3.05,2.44,3.36,3.35
August,,,,,,,,2.49,1.87,2.4,3.66,5.45,1.75,3.19,0.92,3.71,2.23,2.9,1.93,3.18
September,,,,,,,,1.65,0.41,2.73,2.84,4.26,2.05,2.06,1.74,2.16,2.26,5.5,0.04,4.26
October,,,,,,,,2.06,5.24,0.41,1.04,2.85,2.77,2.4,3.78,2.74,1.91,2.63,2.02,5.96
November,,,,,,,,1.84,2.45,4.33,4.86,3.36,1.3,4.12,1.51,0.54,2.17,2.35,2.15,4.04
December,,,,,,,,2.54,1.36,1.85,1.47,2.5,0.56,1.67,2.24,3.06,1.89,3.35,3.5,2.92
Total,,,,,,,,25.85,21.82,26.35,32.23,29.61,19.69,28.11,23,24.23,21.55,33.64,21.28,33.77
,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on High Worple.,,,,,,,,,,,,,,,,,,,,
Altitude might be a little low but a note on the record says the gauge is down the slope of the garden.,,,,,,,,,,,,,,,,,,,,
