SANDY-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL174490,Long,-0.286441,Lat,52.12685,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.76,0.8,3.28,1.96,1.41,1.69,1.98,3.4,1.22,2.63,0.36,0.62,1.33,1.5,1.62,1.48,2.68,1.65,0.78,1.09,2.05,,,,,,,,,,,,,,2.05,1.03,2.93,0.93,1.35,0.72,1.46,1.01,3.74,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.72,1.44,1.17,1.3,1.01,0.96,2.05,1.89,1.32,2.86,1.8,2.28,1.41,2.67,0.73,1.98,0.25,0.73,1.56,1.46,0.72,,,,,,,,,,,,,,2.88,0.96,1.66,0.94,1.01,0.39,2.1,0.99,1.18,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.12,1.35,1.79,1.43,0.72,0.52,2.51,1.8,0.52,0.81,1.33,1.33,1.19,0.76,0.8,1.28,1.5,1.11,2.56,1.47,,,,,,,,,,,,,,,1.33,2.46,1.88,1.03,2.7,2.72,0.79,1.94,1.86,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.52,2.33,1.87,0.6,1.61,1.54,3.09,3.12,1.79,1.88,1.6,0.97,2.93,2.39,1.03,1.9,1.95,0.93,1.93,2.49,,,,,,,,,,,,,,,1,1.77,0.69,2.84,3.02,1.1,2.42,0.97,0.1,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.66,1.32,2.2,2.31,0.95,1.55,0.51,2.07,3.74,2.35,0.89,0.72,1.19,1.62,0.9,2.24,4.44,1.82,0.76,4.35,,,,,,,,,,,,,,,1.64,1.25,1.53,4.14,1.52,1.22,2.81,0.85,1.65,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.76,4.42,3.52,1.5,1.34,4.28,1.31,1.21,1.55,4.47,2.64,1.83,3.43,4.49,1.47,1.82,0.58,1.35,1.91,2.1,,,,,,,,,,,,,,,0.67,3.85,3.09,2.18,1.11,4.54,1,2.3,3.02,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,0.97,3.66,4.47,1.69,1.31,5.9,1.26,2.96,0.36,3.72,5.19,1.89,2.51,2.64,4.41,0.4,3.08,0.43,3.77,3.69,,,,,,,,,,,,,,,2.7,0.85,0.64,2.24,2.77,3.28,1.92,0.45,2.62,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.68,0.68,1.92,2.31,1.63,1.34,1.6,3.56,4.35,4.83,1.78,4.56,1.71,1.17,0.94,2.58,1.35,1.23,2.44,1.65,,,,,,,,,,,,,,,2.03,3.02,1.14,2.52,3.03,2.04,1.9,1.21,6.48,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.86,3.25,1.23,2,2.76,2.32,4.86,1.95,0.94,3,5.17,2.19,2.14,3.63,1.75,3.49,1.27,1.84,2.38,2.5,,,,,,,,,,,,,,,1.7,1.84,0.91,0.7,1.39,2.11,1.15,1.19,1.68,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.47,0.86,3.09,2.59,2.05,3.8,0.83,1.42,2.51,0.61,5.14,2.23,4.99,1.53,1.17,4.32,2.83,1.32,0.7,3.64,1.79,,,,,,,,,,,,,,1.28,1.21,3.64,4.01,1.55,3.86,2.07,1.98,2.12,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,0.87,0.91,3.63,1.82,1.87,4.06,3.41,3.1,3.54,0.78,2.26,2.08,3.29,2.62,1.09,3.18,2.4,1.79,2.89,0.79,1.82,,,,,,,,,,,,,,1.38,1.85,4.55,2.48,0.85,0.59,3.38,2.31,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.57,0.73,2.95,0.53,2.19,1.02,4.41,1.77,1.29,0.51,2.23,3.19,2.68,0.96,1.85,0.84,3.45,1.02,1.09,0.98,0.81,,,,,,,,,,,,,,1.79,0.85,2.26,3.3,1.52,2.92,4.15,3.58,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,15.96,21.75,31.12,20.04,18.85,28.98,27.82,28.25,23.13,28.45,30.39,23.89,28.8,25.98,17.76,25.51,25.78,15.22,22.77,26.21,,,,,,,,,,,,,,,20.45,20.94,24.92,27.31,21.82,25.49,25.15,18.78,28.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
