EXMOUTH (SQUABMOOR),,,,,,,,,,,,
Grid ref,SY028848,Long,-3.376383,Lat,50.654741,,,,,,,
Station no,1802/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,2.35,0.68,1.77,4.76,,,,,,,
February,4.21,0.38,1.58,3.19,2.53,,,,,,,
March,4.45,2.39,0.61,3.63,1.97,,,,,,,
April,1.55,2.89,2.93,0.12,1.32,,,,,,,
May,2.54,2.83,3.35,1.99,3.70,,,,,,,
June,0.75,1.19,2.03,4.43,3.02,,,,,,,
July,2.41,0.89,3.05,3.02,2.75,,,,,,,
August,4.33,4.00,1.89,3.25,0.36,,,,,,,
September,3.90,2.87,3.00,2.66,1.25,,,,,,,
October,1.06,6.39,3.55,2.72,1.92,,,,,,,
November,6.09,4.20,2.04,6.90,4.50,,,,,,,
December,2.79,2.87,0.93,3.24,4.90,,,,,,,
Total,37.33,33.25,25.64,36.92,32.98,,,,,,,
Calc annual,37.33,33.25,25.64,36.92,32.98,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
