POTTON-SUTTON-PARK,,,,,,,,,,
Grid ref,TL217479,Long,-0.22405213,Lat,52.116036,Elevation,157,ft,,
Station no,RR7367,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,1.17,2.78,2.2,2.39,1.38,
February,,,,,0.59,1.91,2.07,1.11,1.3,
March,,,,,3.11,1.23,1.16,1.37,1.63,
April,,,,,0.74,0.41,1.54,1.91,1.05,
May,,,,,2.47,1.6,1.58,3.45,0.42,
June,,,,,1.48,3.52,1.99,1.8,0.62,
July,,,,,0.74,3.44,1.36,3.1,0.29,
August,,,,,0.58,4.21,3.12,2.28,1.73,
September,,,,,2.36,0.48,2.4,1.49,2.97,
October,,,,,0.96,6.95,1.74,1.91,2.35,
November,,,,,1.96,1.81,1.62,0.45,0.82,
December,,,,,1.53,1.17,2.07,1.5,3.09,
Total,,,,,17.69,29.51,22.85,22.76,17.65,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
