MOSTYN-IRON-WORKS- NEW-POSITION,,,,,,,,,,
Grid ref,SJ159808,Long,-3.2638913,Lat,53.317424,Elevation,20,ft.,,
Station no,4280/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.73,2.97,1.63,3.95,4.16,5.01
February,,,,,2.24,0.83,1.96,5.45,0.22,2.32
March,,,,,2.93,1.81,1.45,1.73,1.03,1.58
April,,,,,1.58,1.56,0.39,0.28,3.42,1.52
May,,,,,2.7,1.02,1.88,2.43,1.94,2.22
June,,,,,3.41,2.2,1.26,4.12,2.76,0.65
July,,,,,0.49,5.32,5.21,3.36,2.6,2.32
August,,,,,1.03,9.73,4.55,3.46,1.08,3.2
September,,,,2.31,2.08,1.84,,4.53,0.38,3.64
October,,,,5.46,2.21,2.21,,2.67,4.17,8.89
November,,,,6.19,1.02,1.36,1.51,2.03,3.61,4.93
December,,,,3.2,3.15,2.36,2.73,2.37,6.26,2.77
Total,,,,,24.57,33.21,,36.38,31.63,39.05
,,,,,,,,,,
"NGR is from the 1950s record and is close to the Iron Works, who were observers. Gauge moved here in August 1954, a move of 360 yards SSE. Altitudes probably match.",,,,,,,,,,
