"ABERDARE ABERNANT HOSPITAL",,,,,,,,,,,,
Grid ref,SO006028,Long,-3.440189,Lat,51.715092,,,,,,,
Station no,RR1349,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.71,3.77,5.11,9.03,11.37,2.27,12.14,2.92,4.13,3.01,,
February,10.20,1.76,2.77,4.83,8.41,1.82,5.39,1.42,3.29,1.06,,
March,1.20,6.11,3.48,11.38,2.81,8.35,5.48,2.80,7.42,5.47,,
April,2.35,5.73,2.80,1.93,3.36,5.92,1.17,4.45,3.66,5.00,,
May,3.80,1.07,2.69,3.70,3.32,1.47,4.18,4.07,3.64,2.30,,
June,3.22,3.32,3.15,0.80,1.65,4.15,2.30,6.29,1.17,3.51,,
July,1.50,1.60,1.56,1.87,3.40,1.63,0.77,1.86,4.57,3.58,,
August,5.80,3.46,1.76,8.56,4.76,7.21,4.66,4.64,6.61,2.16,,
September,2.57,3.43,2.35,6.04,2.23,4.76,0.87,1.15,6.84,5.82,,
October,8.31,2.79,3.80,14.95,2.82,2.81,9.72,8.62,4.41,14.37,,
November,6.40,2.96,5.54,3.20,4.35,6.64,5.19,3.98,3.13,2.62,,
December,10.56,8.43,5.96,6.48,5.33,2.07,3.32,9.81,6.21,10.50,,
Total,61.62,44.43,40.97,72.77,53.81,49.10,55.19,52.01,55.08,59.40,,
Calc annual,61.62,44.43,40.97,72.77,53.81,49.10,55.19,52.01,55.08,59.40,,
Difference,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
