ABERDEEN GORDON'S HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 939 064,Long,-2.102524,Lat,57.14887,Elevation,66,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.41,1.63,0.69,1.8,1,3.23,3.13,1.84,2.39,2.95,1.8,1.14,2.74,0.77,3.58,2.81,2.49,4.01,0.69,,,
February,,,,,,,,,0.68,1.52,2.49,4.47,0.86,4.28,1.85,3.44,1.94,1.05,2.17,3.04,0.87,0.27,1.92,2.46,2.88,1.63,0.91,,,
March,,,,,,,,,2.1,2.21,1.46,2.31,1.57,3.83,3.37,1.58,2.72,2.17,3.5,2.39,3.04,2.7,1.17,0.69,0.71,3.5,2.16,,,
April,,,,,,,,,0.94,3.26,2.73,1.07,3.14,1.77,1.59,1.88,1.42,2.08,2.03,2.91,1.45,0.52,0.97,0.79,1.04,1.51,1.39,,,
May,,,,,,,,,2.42,2.92,0.9,2.39,1.58,0.97,1.41,4.11,4.08,1.97,1.29,1.33,3.32,2.42,2.39,1.33,3.52,0.63,1.46,,,
June,,,,,,,,,1.63,2.54,3.12,2.91,3.62,1.14,1.01,1.45,1.1,0.66,2.55,0.72,1.75,0.47,2.4,3.54,1.55,1.83,2.17,,,
July,,,,,,,,,0.46,3.57,3.15,4.34,3.21,4.26,3.26,1.53,2.56,2.58,3.58,3.42,2.77,2.64,2.3,3.01,4.1,3.45,3.15,,,
August,,,,,,,,,3.89,4.12,0.92,3.22,1.85,3.85,2.45,1.98,1.04,1.93,2.39,5.36,2.63,5.11,3.51,2.36,4.79,3.35,2.06,,,
September,,,,,,,,,3.2,3.27,3.35,1.9,2.82,2.96,1.61,3.95,1.97,3.46,1.97,1.08,1.72,5.29,1.95,3.57,0.62,1.4,4.16,,,
October,,,,,,,,,3.16,1.03,3.09,3.6,2.94,2.05,2.68,2.2,2.59,2.77,1.67,3.57,3.84,2.59,5.33,2.83,2.79,6.34,4.44,,,
November,,,,,,,,,3.6,2.65,2.53,2.43,6.57,1.94,3.35,2.14,2.31,2.55,3.75,1.33,5.57,3.77,2.84,4.16,1.57,3.93,1.28,,,
December,,,,,,,,,4.69,0.9,4.36,2.03,7.28,2.47,2.02,2.33,4.36,3.2,1.72,2.29,2.96,1.87,1.03,2.2,2.57,4.5,6.87,,,
Total,,,,,,,,,28.18,29.62,28.79,32.47,36.44,32.75,27.73,28.43,28.48,27.37,28.42,28.58,32.66,28.42,29.39,29.75,28.63,36.08,30.74,,,
