"ABERDEEN GORDON'S HOSPITAL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1531,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.74,0.77,3.58,2.81,2.49,4.01,0.69,,,,,
February,0.87,0.27,1.92,2.46,2.88,1.63,0.91,,,,,
March,3.04,2.70,1.17,0.69,0.71,3.50,2.16,,,,,
April,1.45,0.52,0.97,0.79,1.04,1.51,1.39,,,,,
May,3.32,2.42,2.39,1.33,3.52,0.63,1.46,,,,,
June,1.75,0.47,2.40,3.54,1.55,1.83,2.17,,,,,
July,2.77,2.64,2.30,3.01,4.10,3.45,3.15,,,,,
August,2.63,5.11,3.51,2.36,4.79,3.35,2.06,,,,,
September,1.72,5.29,1.95,3.57,0.62,1.40,4.16,,,,,
October,3.84,2.59,5.33,2.83,2.79,6.34,4.44,,,,,
November,5.57,3.77,2.84,4.16,1.57,3.93,1.28,,,,,
December,2.96,1.87,1.03,2.20,2.57,4.50,6.87,,,,,
Total,32.66,28.42,29.39,29.75,28.63,36.08,30.74,,,,,
Calc annual,32.66,28.42,29.39,29.75,28.63,36.08,30.74,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
