ABERDEEN GORDON'S HOSPITAL,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 939 064,Long,-2.102524,Lat,57.14887,Elevation,66,ft,,,,,,,,,,,,
Station no,RR1531,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,3.91,1.88,2.43,2.3,,,,,,,,
February,,,,,,,,,3.06,0.51,2.1,2.95,,,,,,,,
March,,,,,,,,,3.57,3.42,0.75,1.23,,,,,,,,
April,,,,,,,,1.85,2.07,0.76,0.39,0.77,,,,,,,,
May,,,,,,,,0.95,2.57,2.07,2.63,1.5,,,,,,,,
June,,,,,,,,1.75,2.51,3,2.07,1.73,,,,,,,,
July,,,,,,,,3.31,1.96,3.23,1.57,2.67,,,,,,,,
August,,,,,,,,3.81,2.79,1.56,2.02,3.27,,,,,,,,
September,,,,,,,,2.23,3.41,4.44,3.2,1.99,,,,,,,,
October,,,,,,,,0.66,1.64,3.41,2.67,4.28,,,,,,,,
November,,,,,,,,0.38,3.13,2.04,3.16,2.44,,,,,,,,
December,,,,,,,,1.79,1.79,4.76,1.63,2.26,,,,,,,,
Total,,,,,,,,,32.41,31.08,24.62,27.39,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1838 Transcribed,,,,,,,,,,,,,,,,,,,,
Rainfall Investigations from 1677 to 1865,,,,,,,,,,,,,,,,,,,,
(Gordon Hospital),,,,,,,,,,,,,,,,,,,,
Mr. Innes C 1837-41,,,,,,,,,,,,,,,,,,,,
