ASHBURTON-LEUSDON-VICARAGE,,,,,,,,,,
Grid ref,SX710732,Long,-3.821991,Lat,50.544297,Elevation,870,ft,,
Station no,1704/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.93,7.9,5.96,,7.53,9.97,6.07
February,,,,4.82,5.44,0.31,,6.64,0.36,9.19
March,,,,5.19,2.55,2.44,,3.05,6.88,4.68
April,,,,0.53,1.63,0.9,,1.3,6.36,4.58
May,,,,4.07,5.04,0.86,,4.83,2.05,2.92
June,,,,5.03,3.34,2.48,,4.43,2.06,2.15
July,,,,3.41,2.89,4.83,,3.91,1.36,4.46
August,,,,3.06,0.14,3.28,,6.65,3.05,5.49
September,,,,5.8,1.69,10.34,,6.94,0.21,7.48
October,,,,5.45,4,2.52,,5.31,5.59,11.71
November,,,,11.93,7.34,2.42,,3.25,12.47,10.42
December,,,,5.29,9.29,10.97,,6.73,13.63,7.17
Total,,,,56.51,51.25,47.31,,60.57,63.99,76.32
,,,,,,,,,,
1954 Observer rejects estimates of 2.83 and 5.12 in for Jan and Feb respectively,,,,,,,,,,
1957 Records may be incomplete owing to frequent absence from home,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Leusdon VIcarage SRC_ID 8443,,,,,,,,,,
1954-1961,,,,,,,,,,
