CARRINGTON - HAKERLEY BRIDGE FARM,,,,,,,,,,
Grid ref,TF321529,Long,-0.030,Lat,53.057,Elevation,12,ft,,
Station no,2543/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.61,0.76,0.78,2.15,3.61,1.65,2.09,2.71,3.35
February,,0.55,1.65,1.93,3.32,1.17,2.94,3.41,0.17,2.83
March,,2.78,0.97,1.60,2.11,0.84,1.78,1.51,1.95,1.14
April,2.01,1.04,2.06,0.40,1.07,1.16,0.16,0.63,1.97,0.68
May,2.66,2.42,3.40,2.39,2.90,0.46,1.71,2.43,0.33,0.65
June,1.36,1.76,3.14,1.81,2.22,2.24,2.15,3.12,0.76,0.31
July,0.93,0.22,1.05,2.08,1.12,2.10,2.48,4.38,2.59,2.72
August,3.80,1.66,3.27,3.26,0.71,4.07,2.11,1.81,1.02,3.25
September,1.17,1.74,0.83,1.66,0.88,1.75,4.14,2.22,0.13,2.32
October,0.98,1.90,2.56,2.85,1.42,1.15,1.56,2.24,1.17,4.99
November,3.23,2.68,1.46,3.87,1.21,0.84,1.87,0.98,1.97,3.52
December,1.13,1.57,0.44,2.03,1.71,1.31,1.62,2.82,3.22,3.98
Total,,19.93,21.59,24.66,20.82,20.70,24.17,27.64,17.99,29.74
,,,,,,,,,,
TYRain_1951-1960_15_pt1/202,,,,,,,,,,
,,,,,,,,,,
# The gauge came from Wragg Hall Farm in March (?) 1951.,,,,,,,,,,
#,,,,,,,,,,
# The station continued until 1994 according to MIDAS.,,,,,,,,,,
