FAIRFORD-HATHERSOP-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP156052,Long,-1.77545,Lat,51.745286,Elevation,411,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.85,1.8,5.31,3.52,3.14,5.18,2.48,4.03,1.6,3.03,0.55,1.39,1.88,3.63,3.38,2.66,3.99,2.42,0.78,0.78,2.75,2.29,0.78,2.33,1.79,2.24,0.74,2.11,0.57,3.87,3.09,0.93,1.42,3.1,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.11,1.18,2.63,1.3,2.8,1.7,3.81,1.79,1.97,3.74,3.31,4.57,2.35,3.98,1.65,3.81,0.89,0.61,2.16,1.96,0.36,0.02,1.14,2.95,1.2,0.07,0.3,2.91,1.61,3.62,5.25,1.03,1.13,1.54,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.56,1.4,2.59,2.71,1.01,0.99,3.76,1.78,1.06,1.27,2.07,1.9,1.92,1.19,2.1,1.32,2.26,1.58,3.24,2.81,0.95,1.55,0.56,0.11,1.97,2.46,2.87,3.7,0.65,0.66,0.96,2.08,1.8,3.93,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.74,2.98,2.34,0.82,1.39,2.01,3.49,3.08,3.07,2.55,1.89,0.82,3.68,0.82,1.63,1.77,1.82,1.36,1.72,2.93,1.08,0.82,0.72,0.02,1.81,2.63,0.56,2.19,1.94,1.87,0.92,2.82,1.66,2.13,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.91,1.21,2.46,2.43,1.13,2.64,0.56,2.37,4.58,2.99,0.75,1.24,1.98,1.55,0.72,2.54,4.53,1.4,1.68,2.93,1.28,3.4,1.01,0.99,1.39,0.15,0.23,1.04,3.54,1.46,1.78,1.52,1.96,5.07,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.33,2.59,3.17,2.3,0.98,4.07,1.8,0.99,2.58,5.24,3.97,2.11,3.69,3.48,3.54,2.16,1.61,1.35,2.47,0.71,3.02,1.46,2.44,0.83,2.35,0.65,1.28,2.69,1.42,1.93,2.24,2.14,2.45,4.91,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.48,3.76,4.63,3.15,0.79,4.83,0.85,4.09,0.84,3.33,5.44,3.43,3.86,2.7,3.31,0.65,2.93,0.95,3.94,2.65,3.99,2.7,2.59,3.65,3.07,2.85,1.2,1.19,0.7,1.23,1.36,3.23,1.13,2.88,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.27,0.7,1.31,2.67,2.74,1.04,3.15,5.47,5.59,6.78,1.42,5.3,2.64,1.12,1.36,2.79,1.63,1.24,2.86,3.44,1.84,5.77,2.75,1.5,1.9,2.21,2.22,5.19,1.73,1.11,3.71,2.14,3.97,3.27,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.21,5.93,1.24,1.51,3.84,2.44,5.3,2.09,2.17,3.27,3.8,1.9,3.15,4.38,1.31,3.89,2.71,2.67,1.06,2.01,1.29,1.6,3.05,0.68,2.71,0.79,5.79,2.12,0.94,2.01,0.34,1.66,2.32,2.94,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.45,1.75,4.25,2.58,3.53,8.69,1.77,2.52,4.07,1.02,5.23,1.85,7.16,2.53,0.92,3.19,4.2,2.34,0.62,2.46,1.43,6.24,3.11,2.76,4.17,2.95,3.83,1.82,3.61,3.07,2.88,1.69,1.9,6.46,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
