LAMMERMUIR HILLS (LAMMERLOCH RESERVOIR),,,,,,,,,,,,,,,,,,,,
Grid ref,NT517634,Long,-2.773236,Lat,55.861352,Elevation,900,ft,,,,,,,,,,,,
Station no,5102/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.91,2.16,0.71,2.55,2.24,2.19,3.34,1.9,1.19,3.63
February,,,,,,,,,,,3.47,0.52,1.09,3.05,2.12,3.07,3.12,2.29,0.57,3.68
March,,,,,,,,,,,3.51,1.52,0.3,2.08,1.85,1.4,2.09,1.86,1.07,1.73
April,,,,,,,,,,,3.51,1.69,2.49,0.88,0.97,0.67,1.31,2.15,2.5,1.35
May,,,,,,,,,,,2.54,1.7,1.61,6.7,2.12,0.7,1.61,2.41,0.47,1.48
June,,,,,,,,,,,1.77,2.46,2.77,2.67,0.97,2.63,1.07,3.06,2.45,1.14
July,,,,,,,,,,2.65,2.6,1.71,5.08,2.84,2.9,4.93,5.3,4.92,2.4,3.1
August,,,,,,,,,,3.4,6.97,2.9,2.41,5.43,0.85,8.31,7.56,2.75,0.84,4.35
September,,,,,,,,,,5.6,1.06,3.51,3.57,3.6,1.55,3.55,1.94,2.29,0.67,1.89
October,,,,,,,,,,2.01,0.42,1.93,2.01,5.28,2.52,1.36,1.84,1.47,2.27,6.1
November,,,,,,,,,,3.58,5,3.54,3.07,4.75,1.46,1.17,1.74,0.94,6.73,3.83
December,,,,,,,,,,2.63,1.6,3.62,2.71,2.98,4.72,3.71,3.14,5.46,5.46,2.45
Total,,,,,,,,,,,35.36,27.26,27.82,42.81,24.27,33.69,34.06,31.5,26.62,34.73
