"BOGNOR, ALBERT ROAD",,,,,,,,,,,,
Grid ref,SZ939991,Long,-0.669374,Lat,50.783881,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.22,3.48,1.41,5.70,1.21,0.96,1.15,,
February,,,,1.26,3.06,0.60,2.66,1.02,1.05,0.25,,
March,,,,2.87,0.95,4.08,1.53,0.65,2.09,2.80,,
April,,,,1.80,1.05,2.07,0.91,3.61,1.78,1.14,,
May,,,,1.73,3.84,0.27,2.44,2.47,1.58,1.46,,
June,,,,2.23,0.94,3.30,1.23,2.41,0.92,2.67,,
July,,,,2.64,0.56,0.24,0.49,0.86,2.21,1.79,,
August,,,,2.80,2.30,2.71,0.45,1.03,2.56,2.40,,
September,,,,3.37,1.55,1.97,0.95,0.56,1.49,3.28,,
October,,,,4.95,2.23,1.80,3.53,4.68,2.57,6.53,,
November,,,,1.35,1.23,4.51,5.16,1.95,1.26,1.21,,
December,,,,1.99,2.46,0.67,1.75,2.75,3.24,4.41,,
Total,,,,29.21,23.65,23.63,26.80,23.20,21.71,29.09,,
Calc annual,0.00,0.00,0.00,29.21,23.65,23.63,26.80,23.20,21.71,29.09,,
Difference,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
