"STIRLING ( TOUCH RESERVOIR )  NO 1",,,,,,,,,,,,
Grid ref,NS745917,Long,-4.019230,Lat,56.101537,,,,,,,
Station no,5357,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.96,4.38,1.75,6.16,3.21,3.76,8.37,5.60,1.93,,,
February,3.63,0.92,1.55,5.45,2.67,1.62,5.46,3.10,2.07,,,
March,3.33,4.24,2.91,5.26,2.59,3.02,5.10,1.74,2.93,,,
April,4.01,2.43,2.75,2.29,2.04,1.03,2.01,1.35,4.40,,,
May,1.92,2.41,2.97,5.08,4.11,2.73,3.48,3.72,1.36,,,
June,2.62,3.42,3.25,3.04,1.93,4.52,2.14,3.82,2.74,,,
July,3.88,2.67,6.23,2.16,1.02,6.34,5.15,7.79,5.78,,,
August,7.81,6.31,3.00,4.81,1.26,7.09,4.47,5.22,1.36,,,
September,4.31,2.82,5.76,6.62,3.51,6.74,2.81,4.74,0.92,,,
October,1.21,5.32,3.09,10.22,3.47,5.36,4.72,5.02,4.42,,,
November,7.79,2.02,8.42,9.31,2.80,1.28,1.47,1.74,5.84,,,
December,8.71,4.70,6.81,7.09,9.61,7.06,6.94,7.84,8.03,,,
Total,55.18,41.64,48.49,67.49,38.22,50.55,52.12,51.68,41.78,,,
Calc annual,55.18,41.64,48.49,67.49,38.22,50.55,52.12,51.68,41.78,0.00,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
