STIRLING ( TOUCH RESERVOIR )  NO 2,,,,,,,,,,
Grid ref,NS735918,Long,-4.035343,Lat,56.102171,Elevation,734,ft,,
Station no,5356/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.04,5.34
February,,,,,,,,,2.34,6
March,,,,,,,,,3.31,2.84
April,,,,,,,,,4.8,5.29
May,,,,,,,,,1.42,4.11
June,,,,,,,,4.43,3.22,3.18
July,,,,,,,,8.82,6.08,5.07
August,,,,,,,,6.16,1.62,4.62
September,,,,,,,,5.16,1.13,4.09
October,,,,,,,,5.76,4.95,5.58
November,,,,,,,,2.03,6.61,7.67
December,,,,,,,,8.64,9.07,6.5
Total,,,,,,,,,46.59,60.29
,,,,,,,,,,
1959 Jan Corrected,,,,,,,,,,
