DOLBEN-ST-ASAPH,,,,,,,,,,
Grid ref,SJ017705,Long,-3.4737889,Lat,53.222422,Elevation,150,ft.,,
Station no,RR7837,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,4.91,1.77,2.57,1.5,3.23,3.54,1.13,1.31,1.22,
February,1.03,0.15,1.48,3.38,2.98,0.4,0.92,2.09,3,
March,1.29,1.33,1.4,0.63,2.1,3.68,4.43,2.85,0.8,
April,1.34,1.87,1.12,0.95,1.73,2.77,1.32,2.68,1.69,
May,2.69,2.86,2.77,1.42,3.22,1.5,0.66,0.83,,
June,2.4,4.83,3.11,2.15,1.72,1.1,2.19,2.35,,
July,2.05,2,2.61,1.93,3.01,3.63,2.91,0.46,,
August,3.97,4.71,2.96,2.82,2.76,2.34,2.59,3.09,,
September,1.06,3.28,2.67,2.78,1.01,0.54,5.23,4.17,,
October,2.86,2.95,8.62,2.49,3.63,5.88,6.46,1.68,,
November,6.46,3.17,1.76,2.08,3.2,4.59,1.27,4.15,,
December,1.34,5.61,2.78,3.84,2.9,2.57,4.14,4.06,,
Total,31.4,34.53,33.85,25.97,31.49,32.54,33.25,29.72,,
,,,,,,,,,,
"NGR is Dolben Hall. Altitude from OS maps. Gauge moved to Plas Elwy St. Asaph in May 1898,  about 4.2km NNE",,,,,,,,,,
