"LOGAN LEE, MIDLOTHIAN",,,,,,,,,,
Grid ref,NT198626,Long,-3.2825331,Lat,55.849908,Elevation,860,ft,,
Station no,RR8696,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,
February,,,,,,,,,3,
March,,,,,,,,,1.7,
April,,,,,,,,,,
May,,,,,,,,2.4,,
June,,,,,,,,1.4,,
July,,,,,,,,1,,
August,,,,,,,,0.75,,
September,,,,,,,,1,,
October,,,,,,,,3,,
November,,,,,,,,2,,
December,,,,,,,,2,,
Total,,,,,,,,,,
,,,,,,,,,,
No elevation or info on TYR other than EWW - Edinburgh Waterworks.,,,,,,,,,,
NGR at Water House at dam on Logan Lee Reservoir as best estimate,,,,,,,,,,
