"MARKET WEIGHTON, DALTON HOLME",,,,,,,,,,,,
Grid ref,SE951468,Long,-0.553839,Lat,53.908639,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.47,1.99,0.59,3.11,0.86,1.29,0.99,,
February,,,,0.97,2.64,1.17,1.93,1.40,2.09,1.27,,
March,,,,2.55,1.72,2.01,1.67,1.47,2.68,3.24,,
April,,,,1.84,1.14,1.93,1.09,1.32,2.34,2.31,,
May,,,,3.24,1.84,0.63,1.68,3.81,1.96,1.68,,
June,,,,1.78,0.43,1.35,0.61,3.58,1.02,3.80,,
July,,,,3.11,1.73,1.42,1.05,1.44,2.79,3.11,,
August,,,,2.58,3.38,3.17,1.93,2.19,2.21,4.10,,
September,,,,2.91,1.43,1.61,0.70,0.63,1.55,1.34,,
October,,,,6.32,0.54,1.78,5.01,4.51,1.12,2.78,,
November,,,,1.68,1.48,3.42,2.88,2.11,1.29,0.60,,
December,,,,0.94,1.63,0.32,1.80,3.54,1.85,4.77,,
Total,,,,29.39,19.95,19.40,23.46,26.86,22.19,29.99,,
Calc annual,0.00,0.00,0.00,29.39,19.95,19.40,23.46,26.86,22.19,29.99,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
