"CORYTON (DEVON)",,,,,,,,,,,,
Grid ref,SX455835,Long,-4.185912,Lat,50.630670,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.43,4.67,2.07,4.68,7.01,2.59,,,,,,
February,8.37,1.71,2.33,3.54,8.40,1.51,,,,,,
March,2.83,3.83,2.93,5.59,1.92,6.89,,,,,,
April,1.88,4.40,2.47,2.07,1.41,3.76,,,,,,
May,2.73,1.97,2.04,2.94,2.48,0.85,,,,,,
June,3.75,2.43,2.97,1.74,1.53,2.35,,,,,,
July,1.10,1.01,3.48,3.57,5.52,0.38,,,,,,
August,3.41,3.27,1.77,5.21,2.81,6.35,,,,,,
September,1.58,3.83,3.34,5.40,2.71,1.69,,,,,,
October,3.80,3.04,2.67,11.88,1.83,1.84,,,,,,
November,5.99,1.06,5.73,2.96,2.92,,,,,,,
December,7.16,7.98,4.41,5.23,4.14,,,,,,,
Total,49.03,39.20,36.21,54.81,42.68,,,,,,,
Calc annual,49.03,39.20,36.21,54.81,42.68,28.21,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
