"DALLOW MOOR HIGH SKELDON",,,,,,,,,,,,
Grid ref,SE214696,Long,-1.674077,Lat,54.121822,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.39,1.57,4.32,3.72,1.07,4.99,1.63,2.51,1.49,,
February,,1.43,1.72,4.60,3.75,1.76,2.27,2.25,2.27,0.83,,
March,,2.78,1.19,6.44,2.58,3.51,1.82,2.82,4.72,4.16,,
April,,2.21,1.79,1.75,2.59,2.64,0.68,2.08,2.20,3.21,,
May,,1.19,3.25,5.91,3.91,0.83,3.24,4.57,3.22,1.86,,
June,,1.59,1.68,2.09,1.44,1.29,0.89,5.02,1.44,2.24,,
July,,2.54,2.12,3.04,2.88,0.82,1.41,1.78,2.80,3.61,,
August,,1.86,2.71,3.58,3.78,4.25,3.76,2.02,2.60,3.37,,
September,,1.26,1.49,4.72,1.41,2.77,0.58,0.54,3.18,2.43,,
October,,1.91,3.30,8.70,0.82,2.15,4.47,6.12,2.19,3.24,,
November,,4.14,2.53,2.01,1.93,6.14,1.62,2.89,1.65,1.43,,
December,,3.53,3.77,2.12,2.35,1.24,0.99,6.82,1.34,4.64,,
Total,,26.83,27.12,49.28,31.16,28.47,26.72,38.54,30.12,32.51,,
Calc annual,0.00,26.83,27.12,49.28,31.16,28.47,26.72,38.54,30.12,32.51,,
Difference,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
