"LYE HILL (LEIGH HILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,1.59,2.76,2.86,,,,,,,
February,,,2.06,4.42,1.81,,,,,,,
March,,,1.67,0.65,2.42,,,,,,,
April,,,4.16,0.84,1.46,,,,,,,
May,,,3.13,2.14,1.01,,,,,,,
June,,,5.08,1.95,3.64,,,,,,,
July,,,2.83,4.30,2.49,,,,,,,
August,,,2.69,0.77,1.32,,,,,,,
September,,1.45,2.51,3.66,,,,,,,,
October,,1.25,6.52,2.53,,,,,,,,
November,,2.90,3.10,2.37,1.55,,,,,,,
December,,3.17,3.40,1.00,,,,,,,,
Total,,,38.74,27.39,,,,,,,,
Calc annual,0.00,8.77,38.74,27.39,18.56,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
