"DORKING FIR TOR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,none,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.64,1.42,1.95,3.35,3.10,2.80,4.55,2.20,1.09,1.11,,
February,3.44,3.30,2.50,5.31,2.23,4.20,0.45,0.85,0.70,3.32,,
March,1.16,2.34,1.11,1.09,2.40,1.94,1.10,1.79,2.88,2.40,,
April,2.14,0.35,3.67,1.51,1.55,0.87,2.22,2.08,1.48,2.94,,
May,0.32,1.92,1.59,2.05,0.52,4.31,3.98,1.73,1.43,3.36,,
June,3.49,1.53,2.95,2.57,1.68,2.00,0.81,0.86,3.92,1.04,,
July,4.57,3.00,3.58,2.16,1.58,0.28,3.23,0.89,5.84,1.20,,
August,1.27,5.43,1.88,0.73,1.85,1.38,1.30,2.86,2.19,2.77,,
September,5.48,2.50,2.89,4.95,2.36,6.03,1.90,3.10,1.03,1.05,,
October,6.70,2.70,7.40,3.20,1.64,4.09,3.85,1.78,1.74,5.95,,
November,3.46,4.60,3.26,5.03,1.01,3.62,4.07,5.25,4.58,1.27,,
December,3.87,3.74,3.52,0.90,3.04,1.60,4.33,1.49,1.93,1.90,,
Total,36.54,32.83,36.30,32.85,22.96,33.12,31.79,24.88,28.81,28.31,,
Calc annual,36.54,32.83,36.30,32.85,22.96,33.12,31.79,24.88,28.81,28.31,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
