MAESTEG-ISOLATION-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS848905,Long,-3.664736,Lat,51.601521,Elevation,675,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,7.14,5.76,9.23,6.44,15.02,5.16,10.46,7.83,7.71,4.38,7.49,1.74,7.61,8.78,9.76,9.06,5.26,4.32,7.75,10.28,8.06,6.04,6.96,4.26,13.74,3.53,3.17,8.86,6.54,2.41,5.78,5.09,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.11,8.36,6.65,4.65,7.28,3.19,1.43,8.02,0.05,4.6,1.39,6.6,2.99,10.67,3.81,5.5,6.97,6.1,0.72,4,3.6,8.55,5.87,1.16,3.37,3.73,10.08,5.95,1.63,5.19,7.99,3.99,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,3.2,1.78,1.13,5.63,5.56,2.57,3.46,1.23,3.25,5.49,4.93,1.78,5.46,3.53,2.04,3.07,4.9,3.34,5,1.43,0.56,3.47,2.05,11.21,2.9,3.69,3.88,7.18,7.4,3.15,5.25,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,5.2,4.67,2.48,3.87,1.16,0.78,4.58,5.68,4.37,3.52,4.84,7.89,4.68,5.21,0.34,6.29,4.54,1.85,1.89,2.46,5.48,2.92,1.98,4.32,3.24,5.54,5.21,5.7,5.41,4.24,1.94,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.4,8.18,3.73,2.6,0.78,5.89,3.87,6.21,7.42,2.51,3.27,3.21,1.44,2.99,7.29,1.17,1.99,3.52,6.94,5.97,2.99,4.85,4.38,2.84,3.82,4.98,1.53,3.35,4.46,4.71,4.54,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,4.12,0.46,3.06,6.25,5.86,4.88,2.8,7.24,2.67,3.59,3.02,8.68,5.26,2.36,4.53,4.79,0.91,1.83,0.55,6.36,5.05,7.95,8.5,3.45,7.36,0.96,4.5,2.03,3.72,3.72,8.43,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,8.29,4.83,4.4,7.79,1.71,6.44,6.91,10.72,7.07,5.31,1.21,2.22,10.37,4.53,7.06,14.61,6.88,4.79,7.39,5.34,5.12,5.42,5.3,5.22,4.11,1.89,7.97,2.3,2.98,9.61,9.33,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,9.6,8.33,5.5,9.09,7.82,7.98,10.53,4.98,1.7,2.33,7.71,3.43,2.77,2.28,6.56,4.36,1.07,9.52,8.43,8.38,3.68,5.43,11.82,1.05,8.81,4.57,12.1,12.08,8.89,9.24,8.94,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,9.02,7.87,2.65,8.83,2.04,1.03,8.06,4.72,7.81,2.75,6.97,11.36,5.43,5.09,4.14,2.08,4.09,0.56,6.15,7.12,5.37,5.74,14.28,3.72,9.61,3.87,13.71,6.37,3.89,6.29,10.94,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,7.94,6.65,4.3,5.4,14.28,10.99,10.28,2.98,12.09,9.13,7.08,10.81,3.5,4.2,10.87,4.83,7.93,5.68,8.71,5.73,9.97,6.95,1.81,2.47,8.01,9.79,5.37,1.44,6.08,5.17,13.58,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
