"MAESTEG (ISOLATION HOSPITAL)",,,,,,,,,,,,
Grid ref,SS848905,Long,-3.664736,Lat,51.601521,,,,,,,
Station no,4069,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.86,6.54,2.41,5.78,5.09,7.97,,,,,,
February,5.95,1.63,5.19,7.99,3.99,0.73,,,,,,
March,7.18,7.40,3.15,5.25,3.67,,,,,,,
April,5.70,5.41,4.24,1.94,4.84,,,,,,,
May,3.35,4.46,4.71,4.54,7.14,,,,,,,
June,2.03,3.72,3.72,8.43,9.04,,,,,,,
July,2.30,2.98,9.61,9.33,1.42,,,,,,,
August,12.08,8.89,9.24,8.94,1.42,,,,,,,
September,6.37,3.89,6.29,10.94,4.11,,,,,,,
October,1.44,6.08,5.17,13.58,3.85,,,,,,,
November,12.15,4.87,6.38,13.32,5.98,,,,,,,
December,6.77,6.25,2.45,6.85,10.08,,,,,,,
Total,74.18,62.12,62.56,96.89,60.63,,,,,,,
Calc annual,74.18,62.12,62.56,96.89,60.63,8.70,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
