"BASSENTHWAITE HALL, BASE OF SKIDDAW",,,,,,,,,,,,,,,,,,,,
Grid ref,NY229322,Long,-3.1958,Lat,54.6798,Elevation,210,ft,,,,,,,,,,,,
Station no,RR1822,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,2.31,3.42,7.36,3.1,10.18,10.21,,,,,,,
February,,,,,,,,1.73,8.11,2.1,6.4,3.19,4.18,,,,,,,
March,,,,,,,,1.1,3,1.94,1.45,4.27,0.46,,,,,,,
April,,,,,,,,2.06,2.23,2.74,3.3,2.18,0.89,,,,,,,
May,,,,,,,,3.95,0.53,2.08,2.26,1.27,3.33,,,,,,,
June,,,,,,,,3.59,3.53,1.52,3.74,3.25,4.15,,,,,,,
July,,,,,,,,1.13,3.45,4.04,5.35,5.21,3.02,,,,,,,
August,,,,,,,,3.76,4.72,4.71,5,3.56,5.03,,,,,,,
September,,,,,,,,4.4,2.21,2.04,1.51,2.8,4.3,,,,,,,
October,,,,,,,,5.13,5.12,4.66,3.66,5.8,3.96,,,,,,,
November,,,,,,,,8.7,4.77,4.8,7.24,1.74,6.27,,,,,,,
December,,,,,,,,6.59,5.97,2.01,3.96,1.96,13.91,,,,,,,
Total,,,,,,,,44.45,47.06,40,46.97,45.41,59.71,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sept 1851 = 2.80,,,,,,,,,,,,,,,,,,,,
NGR for centre of village but elevation there ca. 350' (village name was Bassenthwaite Halls in 19thC).,,,,,,,,,,,,,,,,,,,,
