NEWTOWN-GREGYNOG-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO083973,Long,-3.3542969,Lat,52.565772,Elevation,660,ft.,,,,,,,,,,,,
Station no,4250/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,4.09,2.23,5.65,3.02,2.22,3.93,4.06,0.74,3.3,5.01,,,,,,
February,,,,,5.03,2.23,3.67,2.43,2.55,0.96,4.34,3.15,1.63,1.66,,,,,,
March,,,,,1.34,5.46,3.42,2.11,4.92,2.66,0.7,2.19,5.33,5.75,,,,,,
April,,,,,2.15,2.25,1.24,2.93,2.96,3.63,2.85,1.64,0.47,5.38,,,,,,
May,,,,,2.49,0.63,2.71,3.63,2.69,1.31,2.01,1.12,1.81,,,,,,,
June,,,,,1.45,2.7,1.87,5.25,3.6,2.89,5.48,4.07,4.25,,,,,,,
July,,,,,2.14,1.93,1.41,3.32,4.64,3.36,2.94,1.04,3.8,,,,,,,
August,,,,,3.87,5.32,4.28,3.5,4.14,2.16,4.17,3.46,6.14,,,,,,,
September,,,,,2.16,1.49,1.6,0.8,3.13,3.43,0.46,2.85,0.95,,,,,,,
October,,,,,1.53,2.77,6.19,7.74,3.13,5.52,4.42,3.84,3.99,,,,,,,
November,,,,,2.49,3.26,4.75,3.85,3.1,1.88,5.74,4.15,3.7,,,,,,,
December,,,,,2.99,1,4.32,4.79,4.58,5.48,6.57,5.67,5.32,,,,,,,
Total,,,,,31.73,31.27,41.11,43.37,41.66,37.21,43.74,33.92,40.69,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is taken as being close to the Hall at the stated altitude. It may be the gauge is closer to that used for the garden gauge in the 1940s and 1950s. This gauge could be up to 400m South,,,,,,,,,,,,,,,,,,,,
