NEWTOWN-GREGYNOG-GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO083969,Long,-3.3541862,Lat,52.562177,Elevation,650,ft.,,,,,,,,,,,,
Station no,4250/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.47,1.76,1.33,4.23,4.71,1.31,4.01,2.62,4.45,2.61,3.82,4.05,
February,,,,,,,,2.17,1.43,6.83,4.24,1.36,2.21,2.57,1.74,0.55,2.79,4.87,0.41,
March,,,,,,,,1.51,1.77,1.3,5.1,1.27,2.62,2.47,2.81,1.63,2.92,1.32,1.65,
April,,,,,,,,1.81,3.72,3.7,3.27,1.64,2.89,0.92,1.58,2.24,0.16,0.75,3.76,
May,,,,,,,,2.34,2.59,1.17,2.92,3.11,1.6,2.41,4.47,0.52,1.76,2.74,2.01,
June,,,,,,,,3.64,0.82,1.32,1.41,2.35,0.96,4.03,3.91,1.28,1.82,3.73,2.42,
July,,,,,,,,1.83,1.1,2.72,1.84,0.79,4.03,2.99,1.82,3.47,4.37,3.89,3.08,
August,,,,,,,,4.26,1.85,5.1,3.76,5.19,3.49,4.73,1.43,4.88,7.21,2.85,0.59,
September,,,,,,,,2.82,2.17,7.1,2.76,2.57,3.72,3.45,1.47,3.61,7.4,5.97,0.1,4.28
October,,,,,,,,2.8,5.54,2.75,1.25,4.15,1.63,5.2,2.24,2.06,3.24,2.58,3.87,6.06
November,,,,,,,,2.6,4.99,4.06,7.29,3.16,2.95,7.25,1.96,1.64,2.62,1.86,3.27,6.24
December,,,,,,,,4.22,5.56,2.49,4.34,4.49,1.08,5.07,3.76,3.04,2.87,2.94,5.41,5.63
Total,,,,,,,,38.47,33.3,39.87,42.41,34.79,28.49,45.1,29.81,29.37,39.77,37.32,30.62,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s records and is in the estate of Gregynog Hall, but some distance from it. Altitudes match",,,,,,,,,,,,,,,,,,,,
