LAMBOURN-CLARIONVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU341794,Long,-1.5100068,Lat,51.512503,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.39,4.55,0.59,2.1,0.9,2.37,1.32,3.61,4.1,0.7,4.15,1.46,1.59,3.11,3.61,2.37,2.94,3.12,1.68,3.48,2.72,,,,,
February,,,,,,0.6,1.87,1.15,1.23,0.61,3.07,2.09,2.5,1.03,3.32,5.09,2.61,0.86,0.96,2.5,0.75,0.57,2.65,4.51,0.36,4.12,,,,,
March,,,,,,3.55,1.75,0.92,3.49,3.55,1.15,2.32,4.22,3.27,4.11,1.19,5.68,1.94,1.01,4.4,1.83,1.22,2.81,2.68,0.96,0.53,,,,,
April,,,,,,2.68,0.91,2.57,3.08,2.01,2.28,1.05,0.01,4.02,1.11,1.38,0.85,1.22,3.93,2.48,3.5,0.82,3.24,2.36,2.39,2.05,,,,,
May,,,,,,0.55,1.2,2.25,2.26,1.53,1.97,2.12,2.04,2.08,1.89,3.69,1.65,3.96,1.87,0.8,1.7,1.28,1.7,1.73,4.42,3.85,,,,,
June,,,,,,4.44,3.22,3.39,0.91,4.13,4.01,1.89,3.41,0.44,1.99,0.91,2.12,2.8,0.95,1.53,2.3,0.16,1.34,0.36,2.35,0.08,,,,,
July,,,,,,0.5,0.7,2.55,2.52,2.07,1.83,0,2.39,2.8,2.5,3.45,1.08,4.33,4.35,2.27,4.27,0.34,4.85,1.41,3.69,3.23,,,,,
August,,,,,,3.71,0.66,1.6,4.29,3.6,2.48,1.4,4.84,0.65,1.55,3.79,4.65,4.95,1.78,3.53,0.97,1.52,3.74,2.99,1.75,2.39,,,,,
September,,,,,,1.47,0.8,0.85,2.82,3.27,0.4,1.12,1.55,1.95,0.79,2.38,2.2,1.57,6.4,1.27,1.4,1.99,1.87,2.02,4.8,,,,,,
October,,,,,,1.71,4.52,7.14,0.89,5.65,4.71,2.57,2.36,3.78,3.26,3.91,4.46,4.49,1.88,1.38,3.26,1.13,1.37,4.79,4.29,,,,,,
November,,,,,,4.42,5.36,2.51,1.18,0.75,4.07,3.34,1.45,2.82,4.14,2.52,3.72,0.51,2.24,2.1,1.12,1.89,1.71,2.14,2.55,,,,,,
December,,,,,,1.15,1.91,4.93,2.08,4.3,5.62,6.75,4.27,1.32,7.15,5.92,1.87,1.48,2.39,4.79,2.7,1.67,3.24,3.4,5.84,,,,,,
Total,,,,,,25.17,27.45,30.45,26.85,32.37,33.96,25.97,32.65,28.26,32.51,38.38,32.35,29.7,30.87,30.66,26.17,15.53,31.64,30.07,36.88,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Clarionville. Stated altitude might be 25 ft. too low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
