"ST. ALBANS (HILL END HOSPITAL)",,,,,,,,,,,,
Grid ref,TL176068,Long,-0.297934,Lat,51.747565,,,,,,,
Station no,923,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.73,1.81,0.99,0.84,2.14,4.30,1.11,2.68,2.60,2.31,,
February,4.75,0.66,2.15,1.83,1.44,0.44,3.19,2.63,0.14,2.16,,
March,3.66,2.27,0.44,2.25,2.00,0.94,1.53,1.56,2.21,1.98,,
April,2.95,1.85,2.58,0.26,0.52,1.18,0.24,1.43,2.34,0.40,,
May,2.25,1.24,1.48,2.28,4.77,0.59,1.28,2.35,1.06,1.50,,
June,1.46,1.23,2.07,3.32,1.71,2.84,1.39,4.49,0.89,1.59,,
July,0.63,0.57,3.04,2.81,0.16,3.05,2.69,1.55,3.55,3.07,,
August,3.82,6.07,1.82,3.07,0.34,7.14,2.63,3.67,1.89,2.73,,
September,2.81,3.02,1.77,1.32,1.81,2.17,3.16,3.31,0.06,3.78,,
October,1.22,2.88,2.81,2.11,3.25,1.85,1.58,2.36,2.09,5.78,,
November,5.44,3.63,1.40,4.49,2.31,0.60,1.71,2.32,2.04,4.27,,
December,1.99,2.69,0.50,1.76,1.84,3.71,2.26,3.34,4.39,3.39,,
Total,34.71,27.92,21.05,26.34,22.29,28.81,22.77,31.69,23.26,32.96,,
Calc annual,34.71,27.92,21.05,26.34,22.29,28.81,22.77,31.69,23.26,32.96,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
