"CARNOUSTIE (BUDDON NESS LIGHT HOUSE)",,,,,,,,,,,,
Grid ref,NO539310,Long,-2.749835,Lat,56.468864,,,,,,,
Station no,5587,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.75,1.25,0.60,1.35,1.14,2.66,2.63,1.62,1.05,4.11,,
February,2.54,0.53,0.76,2.03,1.82,1.14,3.39,2.50,0.22,2.18,,
March,2.18,2.24,0.17,2.37,1.73,1.17,2.04,5.67,0.92,1.72,,
April,2.25,1.11,2.29,1.09,0.66,1.17,0.58,1.63,2.47,2.08,,
May,1.75,2.35,2.20,2.62,1.69,0.59,1.26,2.24,0.70,1.48,,
June,1.45,1.87,1.14,2.13,0.78,2.84,0.86,2.00,2.18,1.96,,
July,3.52,2.18,2.46,2.32,1.22,3.64,5.67,4.95,3.35,1.73,,
August,2.65,2.67,2.47,2.49,0.24,4.47,3.63,3.29,0.67,4.14,,
September,1.34,0.77,2.03,2.57,0.91,4.54,1.52,2.58,0.55,2.28,,
October,0.46,1.93,1.50,5.61,1.85,1.20,1.50,1.51,1.99,4.87,,
November,6.14,1.85,2.33,3.67,1.60,0.64,1.13,0.86,4.60,3.55,,
December,1.82,1.91,2.82,2.53,5.33,2.94,3.76,4.38,4.71,1.82,,
Total,29.85,20.66,20.77,30.78,18.97,27.00,27.97,33.23,23.41,31.92,,
Calc annual,29.85,20.66,20.77,30.78,18.97,27.00,27.97,33.23,23.41,31.92,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
