TIVERTON-SPRINGFIELD-(NEW-GAUGE),,,,,,,,,,
Grid ref,SS944127,Long,-3.50317,Lat,50.90411,Elevation,350,ft,,
Station no,RR6404,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,7,5.65,3.93,6.46,,,,
February,,,5.21,2.75,3.82,2.59,,,,
March,,,3.27,4.66,1.45,1.58,,,,
April,,,3.05,1.33,2.03,2.05,,,,
May,,,2.92,1.99,0.95,3.13,,,,
June,,,4.37,1.25,1.6,3.65,,,,
July,,,3.93,3.53,2.28,3.54,,,,
August,,,1.6,5.9,4.73,3.96,,,,
September,,,3.87,2.88,8,3.68,,,,
October,,,5.95,3.54,5.28,9,,,,
November,,,6.43,4.64,3.51,6.42,,,,
December,,,8.34,0.95,6.5,1.39,,,,
Total,,,55.94,39.07,44.08,47.45,,,,
,,,,,,,,,,
5 in gauge,,,,,,,,,,
New gauge assumed to be in same location as old one,,,,,,,,,,
,,,,,,,,,,
There is another sheet with a gauge covering just 1872 ,,,,,,,,,,
since these 2 gauges both cover 1872 I did not think it was worth adding a third,,,,,,,,,,
