ALREWAS-SOUTH,,,,,,,,,,
Grid ref,SK168148,Long,-1.7526575,Lat,52.730582,Elevation,180,ft.,,
Station no,2345/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.84,3.08,4.88
February,,,,,,,,3.87,0.23,1.65
March,,,,,,,,1.62,2.5,1.51
April,,,,,,,,0.41,2.78,0.91
May,,,,,,,,1.6,0.64,1.57
June,,,,,,,,4.04,1.03,2.72
July,,,,,,,,4.82,1.64,3.5
August,,,,,,,2.81,2.85,1.54,4.69
September,,,,,,,5.78,2.58,0.07,5.53
October,,,,,,,1.29,2.76,2.34,4.59
November,,,,,,,1.89,1.54,3.14,3.39
December,,,,,,,1.39,2.92,3.35,3.27
Total,,,,,,,,30.85,22.34,38.21
,,,,,,,,,,
NGR is from 1950s record and has correct relationship to school. Stated altitude is carried over from school; OS figure used.,,,,,,,,,,
