"KILSYTH ( FAUGHLIN RES. )",,,,,,,,,,,,
Grid ref,NS741831,Long,-4.021610,Lat,56.024213,,,,,,,
Station no,5350,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.97,4.53,2.94,5.68,3.54,4.34,8.65,5.32,1.96,5.34,,
February,3.64,1.09,2.67,5.30,3.03,2.39,3.36,2.26,3.06,4.12,,
March,4.44,4.75,2.08,3.84,1.78,3.22,7.04,1.88,4.31,2.17,,
April,3.74,2.45,2.28,2.42,3.54,1.29,4.27,1.82,4.59,4.75,,
May,2.10,1.53,2.87,4.22,4.09,4.23,3.52,4.56,1.19,3.50,,
June,3.47,5.31,2.22,4.73,3.40,4.44,2.38,4.04,2.96,3.34,,
July,6.74,3.29,10.28,2.77,1.34,6.47,5.87,6.18,7.08,5.53,,
August,8.11,5.95,2.51,5.66,1.71,6.27,4.97,6.54,1.86,4.29,,
September,4.15,3.78,8.34,8.43,5.38,7.29,3.72,4.84,1.52,2.93,,
October,1.80,3.94,3.17,12.56,4.65,5.87,6.84,5.04,5.80,4.26,,
November,7.58,2.50,10.71,9.25,2.45,1.49,2.29,2.57,6.45,7.10,,
December,8.72,5.45,7.03,9.69,10.20,6.75,7.29,7.13,9.54,7.61,,
Total,60.46,44.57,57.10,74.55,45.11,54.05,60.20,52.18,50.32,54.94,,
Calc annual,60.46,44.57,57.10,74.55,45.11,54.05,60.20,52.18,50.32,54.94,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
