PENCARROW,,,,,,,,,,
Grid ref,SX040710,Long,-4.7654,Lat,50.5061,Elevation,270,ft,,
Station no,RR1386,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,6.68,2.29,5.04,4.2,3.87,5.2,8.4,,,
February,2.48,4.65,1.65,1.18,2.18,4.88,4.55,,,
March,3.91,4.05,4.74,3.3,2.27,2.1,4.02,,,
April,1.57,2.12,2.99,1.52,1.6,0.95,1.6,,,
May,3.02,1.2,2.83,2.03,1.4,2.85,2.02,,,
June,7.43,2.8,4.41,3.55,2.8,1.72,2.55,,,
July,2.58,6.89,3.04,1.32,1.3,3.56,1.76,,,
August,6.98,2.01,2.85,4.53,1.5,5.16,6.34,,,
September,4.74,4.85,5.32,4.52,4.6,0.18,8.65,,,
October,3.44,3.3,7.58,6.55,3.21,7.42,2.56,,,
November,4.93,6.9,2.71,4.3,5.1,5.8,3.75,,,
December,3.85,4.26,4.65,3.9,4.6,3.95,5.04,,,
Total,51.61,45.32,47.81,40.9,34.43,43.77,51.24,,,
