BRADWELL-MOSS-RAKE-HEAD,,,,,,,,,,
Grid ref,SK144799,Long,-1.7853152,Lat,53.315839,Elevation,1435,ft.,,
Station no,2681/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.85,5.15,1.92,6,3.95,7.45,3.45,,,6.05
February,4.62,4.09,3,4.1,2.45,,,,,3.2
March,6.9,2.32,3.15,4.25,,-999,3.25,3.75,,2.2
April,2.81,4,3.35,0.98,1.95,-999,0.37,1.75,,2.7
May,3.17,3.15,2.9,2.8,,1.2,1.73,4.25,0.58,2.5
June,1.9,3.35,2.76,3.23,3.75,4.25,1.75,,1.75,1.95
July,2.59,2.8,4.9,5.75,,7.75,,7.3,3.4,7.5
August,5.09,2.4,4.95,6.95,,8.5,8.25,,0.75,
September,3.32,5.11,2.75,5.3,,4.54,10.05,5.2,,4.75
October,1.12,6.45,2.45,6.69,,3.25,4.5,,4.8,
November,10.98,3.55,2.95,8.05,1.75,2.75,2.75,1.5,4.95,
December,6.39,3.05,2.2,7.94,6.25,6.25,,,7.6,
Total,55.74,45.42,37.28,62.04,,,,,,
,,,,,,,,,,
NGR is from 1950s record and is near Moss Rake. Altitudes match.,,,,,,,,,,
1956 Mar and Apr apportined Mar 2.75 and Apr 2.25,,,,,,,,,,
