"NIDDERDALE (NEW HOUSES)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3373,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.92,4.76,7.43,5.03,5.26,5.23,4.50,9.70,2.60,4.25,,
February,5.03,2.19,3.98,2.51,6.50,4.60,6.05,3.30,3.60,7.50,,
March,4.97,2.53,2.24,0.31,1.10,1.72,8.00,3.30,1.15,2.25,,
April,2.89,1.79,2.60,2.80,2.90,1.95,8.01,3.30,5.54,4.30,,
May,1.72,3.61,3.94,1.75,4.23,3.70,3.50,1.30,1.65,2.30,,
June,0.85,0.77,2.92,2.77,3.77,2.90,3.40,5.10,0.62,1.40,,
July,1.63,3.40,2.07,1.95,3.15,3.55,1.90,1.08,3.02,3.50,,
August,3.63,4.31,4.76,2.45,5.50,6.75,0.24,5.10,2.51,7.40,,
September,0.19,2.41,4.97,6.48,2.95,7.75,2.77,3.00,1.30,5.80,,
October,5.68,5.06,3.58,6.25,8.01,1.95,1.57,1.40,4.87,2.60,,
November,3.86,1.31,3.08,9.62,1.01,9.40,6.70,2.71,5.90,4.04,,
December,1.85,5.35,2.13,4.97,2.40,5.20,4.09,5.10,7.43,1.95,,
Total,36.22,37.49,43.70,46.89,46.78,54.70,50.73,44.39,40.19,47.29,,
Calc annual,36.22,37.49,43.70,46.89,46.78,54.70,50.73,44.39,40.19,47.29,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
