SWAFFHAM-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF818089,Long,0.6863,Lat,52.6481,Elevation,242,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.26,2.66,3.47,2.09,1.95,1.01,0.63,2.67,1.71,1.42,2.4,1.85,3.1,2,1.04,0.12,1.02,1.74,2.1,1.92,2.81,2.69,1.79,1.11,0.74,2.59,2.42,0.91,2.15,1.82,3.21,1.54,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.09,3.56,1.65,1.71,2.23,0.87,2.07,1.34,1.98,1.02,1.4,3.48,3,1.47,2.42,1.82,3.28,1.65,3.19,0.91,2.01,0.39,0.64,2.33,1.65,0.68,0.03,2.41,2.52,1.19,0.3,0.69,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.96,0.96,1.33,1.91,2.53,1.33,1.27,2.22,1.79,1.21,0.41,2.7,2.38,0.84,1.05,0.95,2.04,1.41,1.72,1.35,1.28,1.73,2.01,2.38,1.1,2.52,1.39,0.79,0.34,0.93,2.32,3.73,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.55,1.49,2.85,1.79,1.26,0.98,3.34,2.63,1.45,1.33,0.88,3.44,2.39,1.11,2.4,2.49,1.12,3.03,1.23,1.16,1.5,1.76,1.29,1.68,2.15,0.6,1.01,0.84,0.06,1.98,1.54,0.76,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.73,2.01,3.53,0.34,2.99,0.67,1.17,2.06,2.45,1.03,1.13,1.24,1.59,4.22,3.3,0.59,0.97,1.71,1.27,0.76,2.76,2.67,1.96,0.95,2.72,2.03,3.19,1.42,1.13,2.41,1.11,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.85,2.26,1.24,0.92,1.47,0.87,2.68,3.44,1.54,2.13,2.08,2.16,1.86,2.27,4.53,5.53,1.89,4.98,4.21,0.99,1.3,1.4,0.15,1.02,1.86,4.25,0.71,2.59,1.23,2.92,1.78,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.74,3.56,5.22,0.35,0.34,2.49,2.83,6.34,2.06,1.09,7,2.72,3.27,1.19,5.37,6.19,2.64,3.04,4.92,2,1.1,5.16,1.15,4.32,2.19,4.11,4.13,4.11,4.86,2.67,3.63,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,6.11,2.82,1.3,1.84,2.02,1.59,0.63,5.63,1.92,1.66,0.85,2.25,4.05,4.88,5.81,2.86,4.52,2.37,1.08,2.37,1.34,2.84,2.4,3.5,4.3,2.63,4.25,2.33,1.74,2.28,3.32,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.11,3.02,2.34,3.19,2.98,1.12,3.99,2.77,2.17,2.77,2.46,4.28,2.4,1.87,3.34,3.86,3.26,3.01,5.84,2.13,4.57,1.57,2.57,1.21,2.76,0.58,1.02,2.17,0.78,2.06,0.61,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.86,0.62,2.76,2.91,2.33,3.45,1.65,3.18,2.43,1.84,2.58,0.84,1.85,2.78,1.15,4.93,2.35,4.65,4.26,2.69,5.57,4.16,3.45,1.08,2.76,1.89,3.99,6.89,2.17,2.84,2.11,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
