WHITBY - CHUBB HILL GARDENS,,,,,,,,,,,,,,,,
Grid ref,NZ895109,Long,-0.620,Lat,54.486,Elevation,125,ft,,,,,,,,
Station no,RR3125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923
January,1.36,0.89,1.85,1.45,2.78,3.33,1.58,3.34,0.87,2.84,1.34,2.67,2.99,3.10,2.75,1.75
February,1.50,0.97,1.95,0.64,1.32,0.62,1.68,3.53,2.47,0.60,1.17,1.32,0.62,0.25,1.67,2.65
March,2.11,3.73,0.51,1.35,2.05,2.33,1.77,1.22,3.05,2.03,0.80,4.26,2.03,0.48,1.92,0.74
April,1.87,1.77,1.89,0.34,0.14,2.25,0.61,0.98,1.44,1.83,1.61,1.42,2.83,0.85,1.28,1.06
May,2.29,1.39,2.19,1.12,2.66,2.82,1.02,1.44,2.32,1.54,2.06,0.79,1.29,1.23,1.63,2.90
June,0.86,2.24,1.49,5.05,4.48,1.42,1.39,0.31,1.54,2.51,0.55,1.37,0.69,0.22,1.51,0.71
July,1.32,2.20,2.04,1.50,4.34,0.95,4.67,5.00,1.28,2.13,2.67,2.01,3.61,1.51,3.63,2.32
August,2.02,5.27,2.30,2.66,3.66,0.75,0.98,2.76,2.92,6.43,1.84,2.03,1.73,3.96,3.28,3.36
September,1.83,1.44,0.80,2.43,2.31,1.54,1.15,1.50,1.13,0.71,4.13,1.00,1.48,0.74,2.92,1.62
October,0.91,1.71,2.44,1.89,,3.32,1.73,1.63,2.58,2.28,1.74,4.77,2.23,1.87,1.12,
November,1.50,0.91,3.06,2.82,,1.36,2.84,1.98,3.00,1.65,1.50,2.75,0.46,2.32,1.10,
December,2.09,2.97,1.85,3.60,1.31,1.31,5.24,5.08,3.90,1.09,4.13,2.80,2.44,1.32,3.66,
Total,19.66,25.49,22.37,24.85,,22.00,24.66,28.77,26.50,25.64,23.54,27.19,22.40,17.85,26.47,
,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/072,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/051,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/027,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# The 1920s rainfall sheet has a note saying that the gauge is in Chubb Hill Gardens.,,,,,,,,,,,,,,,,
# The Chubb Hill Gardens (Nurseries) rain gauge is shown on the 1911 Ordnance Survey map.,,,,,,,,,,,,,,,,
"# So the headings to the 1910s and 1920s rainfall sheets (Crescent Avenue and Ocean Road) seem likely to be observer addresses, not where the gauge resided.",,,,,,,,,,,,,,,,
# The most likely sequence of events seems to be that the gauge moved from the original Royal Crescent site to Chubb Hill Gardens in 1908.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The readings for October and November 1912 are estimates and have been omitted.,,,,,,,,,,,,,,,,
# The readings for October to December 1923 are estimates and have been omitted.,,,,,,,,,,,,,,,,
