KILMELFORT,,,,,,,,,,
Grid ref,NM859172,Long,-5.461895,Lat,56.298751,Elevation,402,ft,,
Station no,5411/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,8.04,8.89,9.23,3.95,7.08,13.76,8.47,3.33,5.38
February,,5.58,5.55,6.18,5.24,3,4.88,3.75,3.44,7.15
March,,6.72,3.65,5.43,1.4,3.81,9.84,2.06,6.98,2.16
April,,4.77,4.58,3.88,7.39,3.1,3.81,3.33,6.3,7.62
May,,1.98,6.21,4.09,4.29,7.2,2.23,6,1.71,4.2
June,,6.27,1.32,7.77,7.96,3.95,6.27,2.48,4.31,7.8
July,,5.3,7.65,5.64,1.41,7.95,7.28,4.21,11.34,5.93
August,,8.13,8.37,9.49,3.01,6.09,7.71,7.61,5.07,4.53
September,,7.1,12.79,12.97,11.44,6.46,4.9,5.13,3.82,6.3
October,4.92,7.46,9.08,14.3,10.2,6.4,11.93,9.17,10.97,3.65
November,9.44,4.51,16.2,13.14,3.54,5.94,4.61,4.12,10.49,11.19
December,15.81,7.85,8.47,12.5,10.83,11.27,8.93,7.1,12.36,12.96
Total,,73.71,92.76,104.62,70.66,72.25,86.15,63.43,80.12,78.87
,,,,,,,,,,
Station no,5411/2,,,,,,,,,
Midas,13904,,,,,,,,,
Hyd Stn,682776,,,,,,,,,
