TROWBRIDGE-WINGFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST824574,Long,-2.253915,Lat,51.315434,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.78,3.02,3.96,2.56,3.57,2.16,0.78,0.64,3.34,2.53,1.13,2.32,2.55,3.53,0.61,1.88,0.51,4.93,3.42,1.79,,3.63,3.35,,4.31,1.11,1.5,1.1,3.1,0.98,3.85,4.1,0.62,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.85,3.65,2.01,3.63,0.67,0.59,1.83,1.82,0.61,0,1.49,4.05,2.6,0.19,0.34,3.33,2.19,3.65,5.1,1.03,,2.15,3.5,,2.36,1.65,1.29,0.7,4.17,1.97,2.05,1.3,3.28,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.82,1.84,0.98,2.64,0.94,2.1,2.49,3.2,2.73,1.15,2.36,0.82,0.4,2.13,2.53,3.4,3.88,0.48,0.87,1.65,2.23,,3.8,1.74,,1.67,0.7,3.1,3.24,0.69,2.51,5.13,3.25,4.57,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.83,3.98,0.88,1.34,2.29,3.23,1.09,1.95,3.71,1.68,0.96,0.74,0.04,2.03,2.77,1.14,2.37,2.23,3.2,1.36,2.62,,2.98,1.47,,1.15,2.96,2.23,1.85,3.14,1.5,0.16,3.28,1.61,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.86,1.86,1.64,1.87,2.51,4.73,1.97,1.29,2.76,2.08,2.77,1.03,1.16,1.44,0.18,0.21,1.25,2.69,2.53,1.71,1.55,,4,2.04,,1.82,3.05,1.72,1.31,1.54,1.18,1.63,2.34,1.55,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.23,4.32,3.34,3.46,1.04,0.63,1.07,3.56,1.15,3.37,0.85,1.74,0.84,2.54,0.5,1.55,3.28,1.87,1.77,2.19,1.3,,4.94,1.13,,3.11,2.41,0.48,3.45,4.72,1.46,3.53,0.61,1.69,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.05,3.04,4.01,3.14,0.17,2.44,1.17,4.53,2.25,3.5,1.76,2.31,4.25,4.38,3.74,0.56,1.49,0.28,0.41,1.78,3.4,,3.51,3.57,,1.49,2.36,2.77,2.27,1.63,0.01,3.48,0.9,3.11,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,5.07,3.41,1.86,1.33,2.44,1.43,1.46,1.58,2.79,2.43,5.67,3.9,1.15,2.83,3.08,2.89,4.32,2.42,0.68,2.5,1.8,,5.51,3.18,,1.79,2.71,4.42,2.07,3.47,1.18,5.95,1.44,2.4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.64,3.34,4.03,1.69,5.05,2.47,2.63,1.4,0.96,1.3,2.35,2.92,1.44,3.14,0.79,6.13,2.68,0.89,3.02,0.92,1.43,,2.34,1.48,,0.93,0.78,2.35,3.33,0.17,0.95,0.98,3.39,1.49,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.81,5.45,3.17,1.04,3.97,4.51,2.98,1.1,3.41,1.2,8.07,3.41,2.83,3.37,3.98,2.79,1.55,3.79,2.42,3.1,1.95,,6.75,0.84,,6.12,5.1,1.88,5.45,4.08,2.7,4.72,2.49,3.01,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
