RUFFORD ORMSKIRK (PULMONARY HOSPITAL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD456164,Long,-2.8239,Lat,53.6418,Elevation,38,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.45,4.48,1.47,1.3,3.58,4.23,3.92,2.41,4.01,2.62,6.51,2.11,1.74,3.42,3.61,1.51,2.67,3.06,4.02,2.67,3.23,3,4.09
February,,,,,,,,1.01,2.33,2.02,3.33,1.19,1.94,1.22,3.74,4.51,0.66,1.6,1.54,3.74,2.54,1.17,0.86,3.11,2.1,0.6,3.57,5.93,0.35,2.15
March,,,,,,,,0.81,1.72,2.19,2.61,2.47,0.81,0.74,1.15,0.63,4.7,1.43,2.1,1.15,4.29,1.77,1.2,2.09,1.57,0.56,2.65,1.94,1.54,1.23
April,,,,,,,,0.25,2.3,1.84,1.09,1.35,2.09,2,1.56,0.91,3.09,1.42,2.91,2.49,1.63,2.85,2.57,1.04,1.77,1.83,0.55,1.04,3.17,1.66
May,,,,,,,,3.82,1.15,1.54,2.02,2.78,3.04,2.3,3.27,1.66,3.15,1.45,2.41,0.57,2.88,2.47,1.89,2.53,2.57,1.35,2.09,4.29,1.62,2.2
June,,,,,,,,3.4,4.07,0.87,0.34,0.48,2.46,3.04,3.38,2.44,2.1,3.97,0.84,2.09,1.05,2.25,1.79,2.58,5.1,1.51,1.79,3.17,3.77,1.35
July,,,,,,,,3.35,5.93,4.71,0.92,4,3.28,2.92,1.78,4.46,2.77,2.57,2.74,2.87,1.66,1.92,3.98,5.19,0.96,4.3,4.69,3.29,3.89,5.17
August,,,,,,,,3.48,1.69,1.42,4.41,4.06,4.41,2.76,3.38,5.08,0.36,5.51,2.34,6.86,4.73,3.21,4.09,4.48,1.22,12.43,5.56,4.25,1.11,5.77
September,,,,,,,,1.88,0.75,3.07,1.06,2.27,4.02,5.42,2.18,6.45,3.28,2.27,1.08,6.55,2.37,3.98,3.6,4.12,4.01,3.21,5.78,4.6,0.45,3.24
October,,,,,,,,6.97,1.92,3.19,4.5,4.43,4.43,3.92,5.06,0.56,0.43,2.13,4.62,3.16,1.02,4.07,1.48,7.25,2.37,2.22,5.09,3.3,3.54,2.99
November,,,,,,,,4.79,5.48,6.92,2.08,0.81,3.1,6.57,0.22,4.63,3.48,2.2,4.64,4.84,7.79,2.29,4.63,5.38,1.81,1.55,2,1.68,5.81,7.08
December,,,,,,,,3.53,2.68,2.92,1.38,3.12,2.18,2.4,2.43,3.79,2.6,3.31,4.33,3.02,7.33,2.47,1.38,3.93,3.68,3.09,3.36,3.49,7.5,3.98
Total,,,,,,,,36.74,34.5,32.16,25.04,30.54,35.99,37.21,30.56,39.13,29.24,34.37,31.66,39.08,40.71,32.06,28.98,44.37,30.22,36.67,39.8,40.21,35.75,40.91
