SLAIDBURN-FAR-BARN,,,,,,,,,,
Grid ref,SD746572,Long,-2.3890673,Lat,54.010186,Elevation,675,ft.,,
Station no,3085/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.9,4.17,6.22,7.3,6.15,4.55,
February,,,,3.71,2.25,1.6,5,8.8,1.19,
March,,,,3.14,1.7,2.9,4.75,1.59,2.77,
April,,,,1.53,2.5,2.24,1.25,1.8,3.91,
May,,,,3.66,4.95,2.36,3.1,6.46,0.79,
June,,,,4.12,3.71,2.65,2,3.83,4.01,
July,,,,7.8,1.94,6.61,6.71,4.75,4.26,
August,,,,6.4,1.03,10.95,6.41,6.18,0.54,
September,,,,9.62,4.15,3.8,6.68,6.65,0.64,
October,,,,13.38,3.93,4.05,8,5.08,7.02,
November,,,7.75,10,2.83,2.46,2.23,1.95,6.54,
December,,,3.15,11.6,8.35,6.5,7.33,5.55,11.27,
Total,,,,79.86,41.51,52.34,60.76,58.79,47.49,
,,,,,,,,,,
NGR is from the 1950s recod and is just N of Far Barn.,,,,,,,,,,
Record started at Far Barn 220m WSW and moved in Oct 1955 presumably to location used.,,,,,,,,,,
MIDAS src_id 12339 ends 1982,,,,,,,,,,
