DARTMOOR-COWSIC-HEAD-(EARLY-YEARS),,,,,,,,
Grid ref,SX587784,Long,-3.9961,Lat,50.589,Elevation,1580,ft
Station no,1714,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,
January,,,,-999,-999,-999,-999,
February,,,,-999,-999,-999,-999,
March,,,,-999,-999,-999,-999,
April,,,,-999,-999,-999,-999,
May,,,,-999,-999,-999,-999,
June,,,,-999,-999,-999,-999,
July,,,,-999,-999,-999,-999,
August,,,,-999,-999,-999,-999,
September,,,,-999,-999,-999,1.9,
October,,,,-999,-999,-999,10.4,
November,,,,0.15,-999,-999,5.1,
December,,,,13.6,-999,-999,5.48,
Total,,,58.5,76.25,63.2,46.05,54.88,
,,,,,,,,
Inspection said good site - steep slope down to north,,,,,,,,
"Location unknown, but this NGR fits with altitude, location description and proximity to New Gauge location",,,,,,,,
,,,,,,,,
In the early years the gauge was rarely read. Although there were attempts to split some of them into months from referencing the Cowsic Valley station I am quoting the values as originally given,,,,,,,,
"The values in 1903 are not bracketed, but are similar to the readings which are bracketed, so given as such",,,,,,,,
,,,,,,,,
1902 total received Feb 1923 ,,,,,,,,
,,,,,,,,
1903 Jan-Mar value 21.95,,,,,,,,
          Apr-May value 6.2,,,,,,,,
         June-Aug value 15.3,,,,,,,,
         Sept-Oct value 19.05,,,,,,,,
1904 Jan-Mar value 19.8,,,,,,,,
          Apr-July value 19.8,,,,,,,,
          Aug-Oct value 12.5,,,,,,,,
          Nov-Dec value 11.1,,,,,,,,
1905 Jan-Apr value 19.1,,,,,,,,
          May-Aug value 12.25,,,,,,,,
          Sept-Dec value 14.7,,,,,,,,
1906 Jan-Mar 15.7,,,,,,,,
         Apr_Aug 16.3,,,,,,,,
,,,,,,,,
1904 The rainfall of the first two quarters probably exceeded the capacity of the gauge,,,,,,,,
,,,,,,,,
Annual values rejected from survey map 1929,,,,,,,,
