ST-BRIDES-BAY-HILTON (SOLVA-THE-STEPS),,,,,,,,,,
Grid ref,SM801242,Long,-5.1958464,Lat,51.872907,Elevation,141,ft,,
Station no,RR8809,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,3.38,7.56
February,,,,,,,,,1.42,3.3
March,,,,,,,,,1.28,2.09
April,,,,,,,,,1.99,2.49
May,,,,,,,,,4.47,2.36
June,,,,,,,,,1.74,2.1
July,,,,,,,,2.36,0.79,2.2
August,,,,,,,,4.25,3.41,1.45
September,,,,,,,,2.51,1.57,2.01
October,,,,,,,,1.21,5.82,3.4
November,,,,,,,,3.79,6.06,2.49
December,,,,,,,,4.66,4.57,4.8
Total,,,,,,,,,36.5,36.25
