WIMBLEDON-MIDMOOR-ROAD,,,,,,,,,,
Grid ref,TQ240699,Long,-0.21829401,Lat,51.414567,Elevation,70,ft.,,
Station no,151/2,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.29,2.01,,,,,
February,,,1.98,0.74,1.42,,,,,
March,,,0.3,0.07,1.07,,,,,
April,,,0.81,1.59,1.12,,,,,
May,,,1.87,0.93,2.46,,,,,
June,,,1.32,2.34,,,,,,
July,,,1.5,,,,,,,
August,,,1.34,,,,,,,
September,,,1.37,2.81,,,,,,
October,,,2.43,3.27,,,,,,
November,,,1.08,3.59,,,,,,
December,,,1.57,1.21,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is Midmoor Road. Altitudes match,,,,,,,,,,
