WIMBLEDON-SPENCER-HILL,,,,,,,,,,
Grid ref,TQ243704,Long,-0.21380717,Lat,51.418995,Elevation,80,ft.,,
Station no,151/2,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.55,1.49,3.08,1.09,
February,,,,,,2.45,1.25,1.42,0.93,
March,,,,,,1.31,5.1,0.66,0.95,
April,,,,,,2.26,1.5,1.4,1.85,
May,,,,,,3.7,1.49,2.14,1.88,
June,,,,,,2.47,2.39,2.31,0.75,
July,,,,,3.06,1.5,1.34,0.92,1.83,
August,,,,,1.82,4.26,0.37,3.59,1.38,
September,,,,,1.72,2.89,1.2,0.98,0.54,
October,,,,,2.25,1.03,0.18,2.25,5.44,
November,,,,,0.24,3.32,1.28,1.92,2.41,
December,,,,,3.11,2.2,2.23,3.25,1.42,
Total,,,,,,28.94,19.82,23.92,20.47,
,,,,,,,,,,
"NGR is from the 1940s record and is Spencer Hill, where the gauge moved to on 19 June 1945.",,,,,,,,,,
300m from RAYNES PARK RICHMOND ROAD and adds a few years.,,,,,,,,,,
