SEATOLLER COMMON,,,,,,,,,,,,,,,,,,,,
Grid ref,NY234132,Long,-3.1831,Lat,54.5085,Elevation,1388,ft,,,,,,,,,,,,
Station no,RR1391,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,-999,-999,19,8.81,26.9,30.08,23.02,16.64,,,,,
February,,,,,,,,-999,-999,-999,21.2,15,19.76,-999,,,,,,
March,,,,,,,14.2,-999,7.1,-999,4.27,7.78,1.07,-999,,,,,,
April,,,,,,,7.53,5.15,2.07,2.18,14.34,5.07,0.67,12.73,,,,,,
May,,,,,,,2.75,7.13,2.8,3.84,6.85,3.85,11.38,0.46,,,,,,
June,,,,,,,5.7,5.71,10,2.74,8,11.79,12.14,5.06,,,,,,
July,,,,,,,18.35,2.5,15,12.58,10.46,18.44,7.13,18.73,,,,,,
August,,,,,,,8.15,10.38,11.55,8.6,18.21,13.36,11.88,10.58,,,,,,
September,,,,,,,3.75,12.06,5.42,3.98,5.78,4.13,4.5,10.21,,,,,,
October,,,,,,,17.42,19.02,13.2,18.3,13.32,21.16,8.37,12.76,,,,,,
November,,,,,,,,18.07,12.63,12.73,24.15,3.84,17.23,10.14,,,,,,
December,,,,,,,,12.53,13,8.81,12.26,10.1,32.38,1.22,,,,,,
Total,,,,,,,,101.28,126.95,100.16,147.65,141.42,156.59,111.45,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR put on the Common just above Lowbank Crags at the right elevation,,,,,,,,,,,,,,,,,,,,
"1847 Jen-Feb-March bracketed, their total 8.73",,,,,,,,,,,,,,,,,,,,
"1848 Jan-Feb bracketed, their total 34.18",,,,,,,,,,,,,,,,,,,,
"1849 Feb-March bracketed, their total 7.4",,,,,,,,,,,,,,,,,,,,
"1853 Feb-March bracketed, their total 6.54",,,,,,,,,,,,,,,,,,,,
