WARE (LYME REGIS),,,,,,,,,,,,
Grid ref,SY326918,Long,-2.956179,Lat,50.721898,,,,,,,
Station no,1814,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,0.35,,
March,,,,,,,,,,5.04,,
April,,,,,,,,,,1.91,,
May,,,,,,,,,,0.99,,
June,,,,,,,,,,4.07,,
July,,,,,,,,,,3.60,,
August,,,,,,,,,,2.57,,
September,,,,,,,,,,1.80,,
October,,,,,,,,,,6.26,,
November,,,,,,,,,,0.83,,
December,,,,,,,,,,5.65,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.07,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
