"EASEDALE TARN, GRASMERE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY304088,Long,-3.075418,Lat,54.469774,Elevation,1175,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,12,13,12.5,8.5,7.75,19.25,21,14,24,7.75,18.25,14,3,3.5,,,,,,,,,
February,,,,,,,,9.5,12.75,17,10.5,11.75,11.75,2,5.5,2.5,11.5,10,7.75,6,20,,,,,,,,,
March,,,,,,,,5.75,17,2,4.5,7,9,3.75,9.5,3,9.25,5.5,5,8,12,,,,,,,,,
April,,,,,,,,12,5.5,6,4,5,3.25,1,3.25,2.5,6,4,3.75,2.75,16,,,,,,,,,
May,,,,,,,,3.5,4.25,2.5,9.5,2.25,4.75,4.5,1.75,4,1,6.25,7,2,5,,,,,,,,,
June,,,,,,,,2.75,1.75,3.25,3.25,2.75,9,5.75,2,8,5.5,6.75,4,9,,,,,,,,,,
July,,,,,,,,7.75,0.75,5,1.25,10.75,7,12,5.5,4.25,5,11,1.5,10,15,,,,,,,,,
August,,,,,,,,8,12.5,3.25,4,7.5,9,13.5,15.5,6.75,10,10.5,8,,11,,,,,,,,,
September,,,,,,,,9,4.5,20,9.75,5,17.75,10.25,13.5,11.25,7.75,6,10.5,,17.5,,,,,,,,,
October,,,,,,,7.5,11.5,13,6.75,21,11.25,15.5,15,23,8.5,7,17.5,14.75,6.5,4,,,,,,,,,
November,,,,,,,14.25,2.25,6,15.75,7,5,14,8,8.75,9.75,7.25,21.5,3.5,2.75,18,,,,,,,,,
December,,,,,,,18.25,7,20,13,5.25,16,12.25,7.25,5.5,9.75,13.5,12.75,4.75,8,9,,,,,,,,,
Total,,,,,,,,91,111,107,88.5,92,132.5,104,107.75,94.25,91.5,130,84.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1880 June gauge under repair so value, and total, estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR at quoted elevation to west of the Tarn as no locational details on the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
