FOULRIDGE CANAL OFFICE FIELD BEHIND,,,,,,,,,,
Grid ref,SD889425,Long,-2.16944,Lat,53.87861,Elevation,535,ft,,
Station no,3014,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,8.1,3.42,7.19,2.87,2.25,
February,,,,,4.18,3.34,0.8,1.17,0.64,
March,,,,,3.02,3.03,3.73,1.6,3.51,
April,,,,2.3,1.5,2,3.73,1.3,1.96,
May,,,,1.06,2.3,2.25,5.5,2.13,1.39,
June,,,,3.58,0.56,3.47,2.06,0.2,2.16,
July,,,,3.83,4.19,1.93,4.22,1.93,6.18,
August,,,,3.38,1.65,1.97,2.79,3.14,4.26,
September,,,,7.85,2.5,6.23,4.49,5.52,1.48,
October,,,,6.51,3.59,5.61,4.81,2.54,1.53,
November,,,,5.52,2.03,3.38,3.93,2.76,7.18,
December,,,,4.59,7.74,2.23,5.98,3.22,2.6,
Total,,,,,41.36,38.86,49.23,28.38,35.14,
,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-067.csv,,,,,,,,,,
