FOULRIDGE HOUSE TOP CANAL OFFICE,,,,,,,,,,
Grid ref,SD889425,Long,-2.16944,Lat,53.87861,Elevation,518,,,
Station no,3014,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.31,,,,,,
February,,,,2.43,,,,,,
March,,,,0.66,,,,,,
April,,,,1.86,,,,,,
May,,,,0.84,,,,,,
June,,,,3.14,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,6.4,,,,,,,
December,,,2.68,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-065.csv,,,,,,,,,,
