FAVERSHAM-OTTERDEN-RECTORY-CHARING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ944537,Long,0.784157,Lat,51.24933,Elevation,507,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.05,1.31,3.63,0.61,1.69,3,0.82,4.68,4.11,3.03,3.95,2.77,1.88,3.03,4.75,2.59,1.36,3.83,1.35,6.78,1.91,2.65,0.29,1.34,1.11,2,2.31,2.19,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.05,1.33,1.54,1.77,0.85,0.89,1.18,2.28,4.16,1.46,1.36,2.96,1,1.51,1.22,2.25,1.22,1.01,2.38,2.07,1.54,3.31,2.83,1.53,1.48,4.01,1.48,3.33,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.19,1.87,3,2.44,4.65,1.11,3,2.36,2.4,3.28,1.27,2.3,1.96,1.35,2.58,2.16,0.85,1.05,3.07,2.76,1.67,0.91,0.3,2.07,1.45,1.31,1.88,1.54,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.72,2.32,2.96,0.67,1.97,0.8,0.67,0.37,2.19,1.55,2.47,1.32,0.46,3.06,1.5,1.07,2.49,1.57,2.8,2.57,1.73,3.15,2.03,0.58,3.48,2.48,1.48,1.71,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.59,2.29,3.77,1.19,3.13,1.61,2.49,3.15,1.58,3.28,1.16,4.19,1.19,1.04,4.61,1.23,1.27,1.51,2.03,2.08,4.39,3.52,0.33,1.03,1.51,2.34,0.55,3.4,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.89,2.19,4.81,2.57,2.62,3.11,1.26,1.43,2.94,1.34,0.35,0.91,0.39,3.11,2.45,4.24,2.46,2.15,1.32,1.06,2.26,3.69,3.74,3.85,3.27,2.08,1.16,1.15,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.16,2.55,1.87,2.32,1.25,0.8,0.51,3.61,2.79,5.51,0.54,0.37,1.96,2.98,4.08,2.18,2.24,5.4,0.73,3.18,1.61,3.86,2.7,1.58,3.32,3.55,1.89,0.34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.33,1.9,4.08,1.17,3.29,1.61,2.39,3.59,3.93,1.51,2.97,1.92,2.66,2.06,2.19,2.56,2.28,1.98,2.68,3.18,3.62,4.65,1.76,4.17,1.53,0.57,1,0.69,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.2,4.95,5.05,3.14,1.96,3.31,2.53,0.14,4.78,1.66,2.54,3.78,4.01,4.34,1.95,2.55,3.39,2.52,3.87,1.35,1.48,3.07,3.6,3.75,3.87,3.85,5.17,4.54,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.68,4.46,2.16,1.1,4.53,2.67,1.26,8.84,1.03,2.18,2.43,2.19,3.96,1.26,4.77,3.59,3.97,5.06,1.43,2.41,3.38,0.72,7.36,3.95,8.86,2.39,2.17,4.62,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
