Rainfall at,SCARBOROUGH OSGODBY
,
Station no,,
,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.10,0.72,2.92,2.08,1.36,
February,,,,,,0.78,2.45,2.33,0.86,3.00,
March,,,,,,0.74,3.06,2.15,1.31,1.31,
April,,,,,,0.53,2.14,3.41,1.92,1.89,
May,,,,,,0.98,0.69,2.45,2.29,3.39,
June,,,,,,2.73,2.42,0.88,2.76,3.51,
July,,,,,,4.08,2.39,2.37,0.33,3.21,
August,,,,,,2.01,2.34,3.19,4.83,2.54,
September,,,,,,2.21,3.04,3.61,1.09,2.11,
October,,,,,,4.80,2.38,1.87,2.46,1.22,
November,,,,,,5.85,3.64,1.32,4.57,1.71,
December,,,,,,1.55,6.35,2.49,3.07,1.14,
Total,,,,,,28.36,31.62,28.99,27.57,26.39,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.36,31.62,28.99,27.57,26.39,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,-0.00,0.00,
